Date,Value,Anomaly
199201,43.2,-0.9
199202,49.1,2
199203,50.8,-0.3
199204,58.9,5.9
199205,67,4.8
199206,69,2.8
199207,73.8,-4.6
199208,76.2,0.4
199209,70.8,3.9
199210,62.6,2.7
199211,49.5,-2.9
199212,40.3,-5.8
199301,41.3,-2.8
199302,44,-3.1
199303,52.9,1.8
199304,55.2,2.2
199305,62.3,0.1
199306,68,1.8
199307,72.2,-6.2
199308,73.2,-2.6
199309,69.5,2.6
199310,61.4,1.5
199311,48.8,-3.6
199312,43.1,-3
199401,45.7,1.6
199402,43.7,-3.4
199403,52.9,1.8
199404,55.9,2.9
199405,61.3,-0.9
199406,70.9,4.7
199407,76.5,-1.9
199408,75.8,0
199409,69.8,2.9
199410,58.6,-1.3
199411,42.9,-9.5
199412,42.1,-4
199501,44.7,0.6
199502,51.3,4.2
199503,48.9,-2.2
199504,52.9,-0.1
199505,58.4,-3.8
199506,66.1,-0.1
199507,74.2,-4.2
199508,75,-0.8
199509,71.2,4.3
199510,62.2,2.3
199511,55.9,3.5
199512,46.4,0.3
199601,45.6,1.5
199602,48.8,1.7
199603,51.5,0.4
199604,56.8,3.8
199605,62.5,0.3
199606,70.4,4.2
199607,78.1,-0.3
199608,76.7,0.9
199609,68.4,1.5
199610,59.2,-0.7
199611,51.1,-1.3
199612,45.6,-0.5
199701,44.5,0.4
199702,46.6,-0.5
199703,54,2.9
199704,55.6,2.6
199705,67.6,5.4
199706,68.4,2.2
199707,74,-4.4
199708,74.9,-0.9
199709,70.8,3.9
199710,59,-0.9
199711,51.6,-0.8
199712,42.4,-3.7
199801,45.1,1
199802,43.6,-3.5
199803,49.2,-1.9
199804,51.6,-1.4
199805,54.9,-7.3
199806,65.2,-1
199807,76,-2.4
199808,77.2,1.4
199809,69.2,2.3
199810,57.7,-2.2
199811,48.8,-3.6
199812,42,-4.1
199901,45,0.9
199902,44.9,-2.2
199903,47.5,-3.6
199904,51.3,-1.7
199905,60.4,-1.8
199906,67.8,1.6
199907,73.3,-5.1
199908,72.6,-3.2
199909,70.7,3.8
199910,63.7,3.8
199911,53,0.6
199912,45.3,-0.8
200001,45.8,1.7
200002,47.2,0.1
200003,50.2,-0.9
200004,57.8,4.8
200005,63.9,1.7
200006,72.2,6
200007,73.5,-4.9
200008,75,-0.8
200009,69.1,2.2
200010,58.4,-1.5
200011,46,-6.4
200012,46.5,0.4
200101,42.3,-1.8
200102,43.1,-4
200103,52.6,1.5
200104,52,-1
200105,68.6,6.4
200106,71.4,5.2
200107,74.2,-4.2
200108,76,0.2
200109,71.2,4.3
200110,63.6,3.7
200111,51.6,-0.8
200112,42.8,-3.3
200201,42.4,-1.7
200202,48.2,1.1
200203,48.5,-2.6
200204,56,3
200205,61.5,-0.7
200206,71.2,5
200207,77.4,-1
200208,74.4,-1.4
200209,70.9,4
200210,59.4,-0.5
200211,52.3,-0.1
200212,44,-2.1
200301,50,5.9
200302,45.7,-1.4
200303,51.4,0.3
200304,50,-3
200305,62,-0.2
200306,71.2,5
200307,78.7,0.3
200308,75,-0.8
200309,72.9,6
200310,65.4,5.5
200311,46.8,-5.6
200312,44,-2.1
200401,43.5,-0.6
200402,44.2,-2.9
200403,56.9,5.8
200404,57.3,4.3
200405,63.2,1
200406,70.4,4.2
200407,76.1,-2.3
200408,74.8,-1
200409,69.4,2.5
200410,58.2,-1.7
200411,47.7,-4.7
200412,44.6,-1.5
200501,44.1,0
200502,47.1,0
200503,51.1,0
200504,53,0
200505,62.2,0
200506,66.2,0
200507,78.4,0
200508,75.8,0
200509,66.9,0
200510,59.9,0
200511,52.4,0
200512,46.1,0
200601,44.6,0.5
200602,47.7,0.6
200603,44,-7.1
200604,53,0
200605,64.6,2.4
200606,73.2,7
200607,79.3,0.9
200608,73.8,-2
200609,69.5,2.6
200610,58.8,-1.1
200611,51.3,-1.1
200612,43.9,-2.2
200701,41.5,-2.6
200702,46.7,-0.4
200703,54.4,3.3
200704,56.3,3.3
200705,64.1,1.9
200706,70.5,4.3
200707,76.9,-1.5
200708,76.1,0.3
200709,67.5,0.6
200710,58.6,-1.3
200711,53.3,0.9
200712,41.2,-4.9
200801,41.1,-3
200802,45.8,-1.3
200803,50.3,-0.8
200804,54.4,1.4
200805,61.7,-0.5
200806,71.1,4.9
200807,76.5,-1.9
200808,76.6,0.8
200809,71.8,4.9
200810,61.8,1.9
200811,53.9,1.5
200812,42,-4.1
200901,46.9,2.8
200902,45.2,-1.9
200903,49.2,-1.9
200904,54.3,1.3
200905,66.7,4.5
200906,67.5,1.3
200907,77.6,-0.8
200908,74.8,-1
200909,73,6.1
200910,58.1,-1.8
200911,50.9,-1.5
200912,41.8,-4.3
201001,45.2,1.1
201002,46.8,-0.3
201003,49,-2.1
201004,50.9,-2.1
201005,56.9,-5.3
201006,69.1,2.9
201007,76.1,-2.3
201008,73.4,-2.4
201009,70.4,3.5
201010,60.5,0.6
201011,48.6,-3.8
201012,45.8,-0.3
201101,45.2,1.1
201102,43.4,-3.7
201103,48.7,-2.4
201104,53.4,0.4
201105,57.6,-4.6
201106,66.9,0.7
201107,74.2,-4.2
201108,75.2,-0.6
201109,72.2,5.3
201110,61.4,1.5
201111,48.2,-4.2
201112,42.8,-3.3
201201,46.5,2.4
201202,46.5,-0.6
201203,48.8,-2.3
201204,55.8,2.8
201205,63.9,1.7
201206,69.3,3.1
201207,74.7,-3.7
201208,77.8,2
201209,73.1,6.2
201210,62.2,2.3
201211,52.5,0.1
201212,43,-3.1
201301,42.1,-2
201302,45.3,-1.8
201303,53.8,2.7
201304,58.2,5.2
201305,63.8,1.6
201306,72.4,6.2
201307,78,-0.4
201308,74.4,-1.4
201309,69.3,2.4
201310,58.5,-1.4
201311,51.9,-0.5
201312,44.1,-2
201401,50.1,6
201402,49.8,2.7
201403,53.5,2.4
201404,57.7,4.7
201405,64.6,2.4
201406,71.9,5.7
201407,78.4,0
201408,74.9,-0.9
201409,72.2,5.3
201410,64.4,4.5
201411,53.1,0.7
201412,46.8,0.7
201501,48.6,4.5
