Date,Value,Anomaly
199201,43.2,-0.9
199202,49.1,49.1
199203,50.8,50.8
199204,58.9,58.9
199205,67,67
199206,69,69
199207,73.8,73.8
199208,76.2,76.2
199209,70.8,70.8
199210,62.6,62.6
199211,49.5,49.5
199212,40.3,40.3
199301,41.3,-2.8
199302,44,44
199303,52.9,52.9
199304,55.2,55.2
199305,62.3,62.3
199306,68,68
199307,72.2,72.2
199308,73.2,73.2
199309,69.5,69.5
199310,61.4,61.4
199311,48.8,48.8
199312,43.1,43.1
199401,45.7,1.6
199402,43.7,43.7
199403,52.9,52.9
199404,55.9,55.9
199405,61.3,61.3
199406,70.9,70.9
199407,76.5,76.5
199408,75.8,75.8
199409,69.8,69.8
199410,58.6,58.6
199411,42.9,42.9
199412,42.1,42.1
199501,44.7,0.6
199502,51.3,51.3
199503,48.9,48.9
199504,52.9,52.9
199505,58.4,58.4
199506,66.1,66.1
199507,74.2,74.2
199508,75,75
199509,71.2,71.2
199510,62.2,62.2
199511,55.9,55.9
199512,46.4,46.4
199601,45.6,1.5
199602,48.8,48.8
199603,51.5,51.5
199604,56.8,56.8
199605,62.5,62.5
199606,70.4,70.4
199607,78.1,78.1
199608,76.7,76.7
199609,68.4,68.4
199610,59.2,59.2
199611,51.1,51.1
199612,45.6,45.6
199701,44.5,0.4
199702,46.6,46.6
199703,54,54
199704,55.6,55.6
199705,67.6,67.6
199706,68.4,68.4
199707,74,74
199708,74.9,74.9
199709,70.8,70.8
199710,59,59
199711,51.6,51.6
199712,42.4,42.4
199801,45.1,1
199802,43.6,43.6
199803,49.2,49.2
199804,51.6,51.6
199805,54.9,54.9
199806,65.2,65.2
199807,76,76
199808,77.2,77.2
199809,69.2,69.2
199810,57.7,57.7
199811,48.8,48.8
199812,42,42
199901,45,0.9
199902,44.9,44.9
199903,47.5,47.5
199904,51.3,51.3
199905,60.4,60.4
199906,67.8,67.8
199907,73.3,73.3
199908,72.6,72.6
199909,70.7,70.7
199910,63.7,63.7
199911,53,53
199912,45.3,45.3
200001,45.8,1.7
200002,47.2,47.2
200003,50.2,50.2
200004,57.8,57.8
200005,63.9,63.9
200006,72.2,72.2
200007,73.5,73.5
200008,75,75
200009,69.1,69.1
200010,58.4,58.4
200011,46,46
200012,46.5,46.5
200101,42.3,-1.8
200102,43.1,43.1
200103,52.6,52.6
200104,52,52
200105,68.6,68.6
200106,71.4,71.4
200107,74.2,74.2
200108,76,76
200109,71.2,71.2
200110,63.6,63.6
200111,51.6,51.6
200112,42.8,42.8
200201,42.4,-1.7
200202,48.2,48.2
200203,48.5,48.5
200204,56,56
200205,61.5,61.5
200206,71.2,71.2
200207,77.4,77.4
200208,74.4,74.4
200209,70.9,70.9
200210,59.4,59.4
200211,52.3,52.3
200212,44,44
200301,50,5.9
200302,45.7,45.7
200303,51.4,51.4
200304,50,50
200305,62,62
200306,71.2,71.2
200307,78.7,78.7
200308,75,75
200309,72.9,72.9
200310,65.4,65.4
200311,46.8,46.8
200312,44,44
200401,43.5,-0.6
200402,44.2,44.2
200403,56.9,56.9
200404,57.3,57.3
200405,63.2,63.2
200406,70.4,70.4
200407,76.1,76.1
200408,74.8,74.8
200409,69.4,69.4
200410,58.2,58.2
200411,47.7,47.7
200412,44.6,44.6
200501,44.1,0
