Date,Value,Anomaly
199201,53.1,0.7
199202,58.3,2.2
199203,60.7,-1.5
199204,72,6.4
199205,80.9,6.1
199206,82.5,2.6
199207,87.7,-5.8
199208,91.2,0.2
199209,85.7,4
199210,75.6,2.6
199211,60.8,-3.2
199212,49.3,-6.2
199301,49.6,-2.8
199302,52.6,-3.5
199303,63.5,1.3
199304,67.3,1.7
199305,75,0.2
199306,81.9,2
199307,86.5,-7
199308,87.8,-3.2
199309,84.9,3.2
199310,74.1,1.1
199311,60.9,-3.1
199312,53.4,-2.1
199401,56.9,4.5
199402,53.7,-2.4
199403,65.2,3
199404,68.3,2.7
199405,73.9,-0.9
199406,86.1,6.2
199407,91.5,-2
199408,91.3,0.3
199409,84.3,2.6
199410,71.8,-1.2
199411,52.9,-11.1
199412,51.1,-4.4
199501,51.1,-1.3
199502,62,5.9
199503,58.5,-3.7
199504,64.6,-1
199505,69.8,-5
199506,79.7,-0.2
199507,88.8,-4.7
199508,90.3,-0.7
199509,85.9,4.2
199510,76.9,3.9
199511,68.6,4.6
199512,55.6,0.1
199601,55.2,2.8
199602,58,1.9
199603,63.5,1.3
199604,69.8,4.2
199605,75.8,1
199606,85.4,5.5
199607,93,-0.5
199608,92.2,1.2
199609,82.8,1.1
199610,72.3,-0.7
199611,61.5,-2.5
199612,53.9,-1.6
199701,52.9,0.5
199702,57.7,1.6
199703,67.7,5.5
199704,68.1,2.5
199705,81.8,7
199706,81.8,1.9
199707,88.8,-4.7
199708,89.3,-1.7
199709,84.3,2.6
199710,72.1,-0.9
199711,61.4,-2.6
199712,51.7,-3.8
199801,53.4,1
199802,51,-5.1
199803,59.9,-2.3
199804,63.1,-2.5
199805,65.4,-9.4
199806,78,-1.9
199807,90.7,-2.8
199808,92.7,1.7
199809,82.3,0.6
199810,70.8,-2.2
199811,58.9,-5.1
199812,52.8,-2.7
199901,55.4,3
199902,55.1,-1
199903,58.6,-3.6
199904,63.2,-2.4
199905,74.1,-0.7
199906,82.3,2.4
199907,88.1,-5.4
199908,87.1,-3.9
199909,85.6,3.9
199910,79,6
199911,64.6,0.6
199912,57,1.5
200001,54.9,2.5
200002,56,-0.1
200003,61.7,-0.5
200004,71.1,5.5
200005,77.3,2.5
200006,87,7.1
200007,88.5,-5
200008,89.8,-1.2
200009,83.6,1.9
200010,70.2,-2.8
200011,57.2,-6.8
200012,57.7,2.2
200101,52.6,0.2
200102,52.6,-3.5
200103,64.3,2.1
200104,64.4,-1.2
200105,83.8,9
200106,86.3,6.4
200107,88.8,-4.7
200108,91.4,0.4
200109,86.1,4.4
200110,77.5,4.5
200111,61.7,-2.3
200112,51.2,-4.3
200201,52.5,0.1
200202,60.7,4.6
200203,61,-1.2
200204,68.7,3.1
200205,75.5,0.7
