Date,Value,Anomaly
199201,33.2,-2.6
199202,39.9,1.8
199203,41,1
199204,45.9,5.5
199205,53,3.5
199206,55.4,2.8
199207,60,-3.2
199208,61.2,0.6
199209,55.8,3.8
199210,49.7,2.9
199211,38.1,-2.7
199212,31.4,-5.2
199301,33,-2.8
199302,35.5,-2.6
199303,42.4,2.4
199304,43.1,2.7
199305,49.6,0.1
199306,54,1.4
199307,57.9,-5.3
199308,58.5,-2.1
199309,54,2
199310,48.7,1.9
199311,36.6,-4.2
199312,32.8,-3.8
199401,34.4,-1.4
199402,33.6,-4.5
199403,40.5,0.5
199404,43.6,3.2
199405,48.7,-0.8
199406,55.6,3
199407,61.4,-1.8
199408,60.3,-0.3
199409,55.4,3.4
199410,45.2,-1.6
199411,32.9,-7.9
199412,33.1,-3.5
199501,38.3,2.5
199502,40.5,2.4
199503,39.2,-0.8
199504,41.1,0.7
199505,47,-2.5
199506,52.5,-0.1
199507,59.6,-3.6
199508,59.8,-0.8
199509,56.5,4.5
199510,47.4,0.6
199511,43.2,2.4
199512,37.3,0.7
199601,36,0.2
199602,39.6,1.5
199603,39.4,-0.6
199604,43.6,3.2
199605,49.2,-0.3
199606,55.5,2.9
199607,63.2,0
199608,61.1,0.5
199609,54,2
199610,46.1,-0.7
199611,40.8,0
199612,37.4,0.8
199701,36.1,0.3
199702,35.6,-2.5
199703,40.4,0.4
199704,43,2.6
199705,53.3,3.8
199706,55,2.4
199707,59.2,-4
199708,60.5,-0.1
199709,57.2,5.2
199710,45.9,-0.9
199711,41.7,0.9
199712,33.1,-3.5
199801,36.8,1
199802,36.2,-1.9
199803,38.6,-1.4
199804,40,-0.4
199805,44.4,-5.1
199806,52.5,-0.1
199807,61.2,-2
199808,61.7,1.1
199809,56.1,4.1
199810,44.6,-2.2
199811,38.7,-2.1
199812,31.1,-5.5
199901,34.6,-1.2
199902,34.8,-3.3
199903,36.3,-3.7
199904,39.4,-1
199905,46.7,-2.8
199906,53.3,0.7
199907,58.5,-4.7
199908,58.2,-2.4
199909,55.8,3.8
199910,48.4,1.6
199911,41.4,0.6
199912,33.6,-3
200001,36.6,0.8
200002,38.4,0.3
200003,38.6,-1.4
200004,44.6,4.2
200005,50.4,0.9
200006,57.3,4.7
200007,58.5,-4.7
200008,60.1,-0.5
200009,54.6,2.6
200010,46.5,-0.3
200011,34.8,-6
200012,35.4,-1.2
200101,32,-3.8
200102,33.6,-4.5
200103,40.9,0.9
200104,39.7,-0.7
200105,53.3,3.8
200106,56.4,3.8
200107,59.7,-3.5
200108,60.6,0
200109,56.4,4.4
200110,49.8,3
200111,41.4,0.6
200112,34.4,-2.2
200201,32.1,-3.7
200202,35.7,-2.4
200203,36,-4
200204,43.3,2.9
200205,47.4,-2.1
200206,56,3.4
200207,62.2,-1
200208,58.8,-1.8
200209,55.8,3.8
200210,45.5,-1.3
200211,40.6,-0.2
200212,35.1,-1.5
200301,39.8,4
200302,35.3,-2.8
200303,39.7,-0.3
200304,39.4,-1
200305,48.6,-0.9
200306,56.4,3.8
200307,63.5,0.3
200308,60.8,0.2
200309,57.7,5.7
200310,50.6,3.8
200311,36.9,-3.9
200312,35.2,-1.4
200401,34,-1.8
200402,34.9,-3.2
200403,43.5,3.5
200404,43.9,3.5
200405,49.2,-0.3
200406,55.6,3
200407,61.2,-2
200408,60,-0.6
200409,54.2,2.2
200410,46.4,-0.4
200411,37.4,-3.4
200412,35.2,-1.4
200501,35.8,0
200502,38.1,0
200503,40,0
200504,40.4,0
200505,49.5,0
200506,52.6,0
200507,63.2,0
200508,60.6,0
200509,52,0
200510,46.8,0
200511,40.8,0
200512,36.6,0
200601,35,-0.8
200602,35.3,-2.8
200603,34.4,-5.6
200604,42.1,1.7
200605,50.7,1.2
200606,58.6,6
200607,64.4,1.2
200608,58.5,-2.1
200609,54.2,2.2
200610,45.3,-1.5
200611,40.3,-0.5
200612,33.1,-3.5
200701,29.5,-6.3
200702,36.3,-1.8
200703,40.9,0.9
200704,43.1,2.7
200705,49.5,0
200706,55.2,2.6
200707,62,-1.2
200708,61.1,0.5
200709,53.6,1.6
200710,46,-0.8
200711,41,0.2
200712,31.8,-4.8
200801,32.6,-3.2
200802,34.7,-3.4
200803,37.5,-2.5
200804,40.3,-0.1
200805,48.3,-1.2
200806,55.5,2.9
200807,61.7,-1.5
200808,61.6,1
200809,56.3,4.3
200810,47.6,0.8
200811,42.9,2.1
200812,32.4,-4.2
200901,35.5,-0.3
200902,35.4,-2.7
200903,37,-3
200904,40.7,0.3
200905,52.7,3.2
200906,54.3,1.7
200907,62.2,-1
200908,59.4,-1.2
200909,57.6,5.6
200910,45.5,-1.3
200911,38.6,-2.2
200912,32.2,-4.4
201001,36.6,0.8
201002,37.5,-0.6
201003,37.2,-2.8
201004,39,-1.4
201005,44,-5.5
201006,55.1,2.5
201007,61.2,-2
201008,58.2,-2.4
201009,54.9,2.9
201010,49.1,2.3
201011,37.6,-3.2
201012,37.7,1.1
201101,34.6,-1.2
201102,32.3,-5.8
201103,38.6,-1.4
201104,41.1,0.7
201105,44.8,-4.7
201106,53.3,0.7
201107,60,-3.2
201108,59.8,-0.8
201109,57.3,5.3
201110,48.4,1.6
201111,37.5,-3.3
201112,30.6,-6
201201,34.4,-1.4
201202,35,-3.1
201203,37.3,-2.7
201204,43.1,2.7
201205,49.2,-0.3
201206,54.3,1.7
201207,59.7,-3.5
201208,62.7,2.1
201209,57.8,5.8
201210,48.9,2.1
201211,41.4,0.6
201212,34.3,-2.3
201301,31,-4.8
201302,33.1,-5
201303,41,1
201304,44.7,4.3
201305,50.1,0.6
201306,57.6,5
201307,63.4,0.2
201308,59.8,-0.8
201309,55.6,3.6
201310,44.5,-2.3
201311,40.2,-0.6
201312,32,-4.6
201401,37.2,1.4
201402,39,0.9
201403,41.6,1.6
201404,44.4,4
201405,50.5,1
201406,56.6,4
201407,64,0.8
201408,60.8,0.2
201409,58.3,6.3
201410,50.8,4
201411,42,1.2
201412,38.9,2.3
201501,37.9,2.1
