Date,Value,Anomaly
199201,1.94,-3.62
199202,5.98,5.98
199203,3.65,3.65
199204,1.03,1.03
199205,0.23,0.23
199206,0.71,0.71
199207,0.24,0.24
199208,0.2,0.2
199209,0.05,0.05
199210,2.13,2.13
199211,0.59,0.59
199212,6.48,6.48
199301,8.86,3.3
199302,5.98,5.98
199303,3.05,3.05
199304,1.45,1.45
199305,1.44,1.44
199306,0.87,0.87
199307,0.03,0.03
199308,0.22,0.22
199309,0.04,0.04
199310,0.82,0.82
199311,1.42,1.42
199312,2.52,2.52
199401,1.91,-3.65
199402,3.96,3.96
199403,1.24,1.24
199404,1.36,1.36
199405,1.35,1.35
199406,0.1,0.1
199407,0.05,0.05
199408,0.06,0.06
199409,0.34,0.34
199410,0.63,0.63
199411,3.73,3.73
199412,2.81,2.81
199501,12.5,6.94
199502,1.27,1.27
199503,9.57,9.57
199504,2.69,2.69
199505,1.73,1.73
199506,0.95,0.95
199507,0.17,0.17
199508,0.06,0.06
199509,0.07,0.07
199510,0.05,0.05
199511,0.36,0.36
199512,5.78,5.78
199601,5.12,-0.44
199602,5.99,5.99
199603,2.57,2.57
199604,2.1,2.1
199605,2.01,2.01
199606,0.18,0.18
199607,0.2,0.2
199608,0.06,0.06
199609,0.27,0.27
199610,1.7,1.7
199611,3.35,3.35
199612,8.96,8.96
199701,7.62,2.06
199702,0.71,0.71
199703,0.84,0.84
199704,0.89,0.89
199705,0.38,0.38
199706,0.65,0.65
199707,0.31,0.31
199708,0.27,0.27
199709,0.94,0.94
199710,1.08,1.08
199711,3.95,3.95
199712,2.96,2.96
199801,6.97,1.41
199802,11.5,11.5
199803,4.15,4.15
199804,2.17,2.17
199805,3.03,3.03
199806,0.77,0.77
199807,0.2,0.2
199808,0.13,0.13
199809,0.74,0.74
199810,0.76,0.76
199811,4.34,4.34
199812,1.65,1.65
199901,3.54,-2.02
199902,4.98,4.98
199903,2.4,2.4
199904,1.87,1.87
199905,0.33,0.33
199906,0.25,0.25
199907,0.31,0.31
199908,0.21,0.21
199909,0.18,0.18
199910,0.71,0.71
199911,2.2,2.2
199912,0.65,0.65
200001,5.09,-0.47
200002,6.93,6.93
200003,1.92,1.92
200004,1.8,1.8
200005,0.94,0.94
200006,0.31,0.31
200007,0.06,0.06
200008,0.27,0.27
200009,0.35,0.35
200010,2.2,2.2
200011,0.79,0.79
200012,0.77,0.77
200101,3.52,-2.04
200102,4.42,4.42
200103,2.21,2.21
200104,1.75,1.75
200105,0.15,0.15
200106,0.23,0.23
200107,0.28,0.28
200108,0.05,0.05
200109,0.3,0.3
200110,0.65,0.65
200111,4.21,4.21
200112,5.25,5.25
200201,2.22,-3.34
200202,1.45,1.45
200203,1.91,1.91
200204,0.88,0.88
200205,0.59,0.59
200206,0.07,0.07
200207,0.06,0.06
200208,0.01,0.01
200209,0.11,0.11
200210,0.06,0.06
200211,3.18,3.18
200212,8.14,8.14
200301,1.92,-3.64
200302,2.66,2.66
200303,2.77,2.77
200304,3.98,3.98
200305,1.09,1.09
200306,0.04,0.04
200307,0.22,0.22
200308,0.57,0.57
200309,0.17,0.17
200310,0.09,0.09
200311,2.35,2.35
200312,5.77,5.77
200401,2.27,-3.29
200402,5.88,5.88
200403,1.08,1.08
200404,0.7,0.7
200405,0.45,0.45
200406,0.08,0.08
200407,0.06,0.06
200408,0.19,0.19
200409,0.14,0.14
200410,3.72,3.72
200411,1.68,1.68
200412,5.51,5.51
200501,5.56,0
