Date,Value,Anomaly
199201,46.2,-3.3
199202,52.2,1.3
199203,55.2,1.5
199204,61.2,0.5
199205,67.8,-0.5
199206,75.2,-1.4
199207,80.2,-0.7
199208,77,-3.3
199209,73.8,-3.2
199210,61.9,-3.9
199211,54.8,-2.2
199212,47.3,2.5
199301,50.3,0.8
199302,46.6,-4.3
199303,52.6,-1.1
199304,59,-1.7
199305,69.7,1.4
199306,78.1,1.5
199307,83.1,2.2
199308,80.1,-0.2
199309,75.7,-1.3
199310,64,-1.8
199311,53.8,-3.2
199312,45.7,0.9
199401,42.3,-7.2
199402,51.6,0.7
199403,57.5,3.8
199404,65.3,4.6
199405,68.8,0.5
199406,77.6,1
199407,78,-2.9
199408,77,-3.3
199409,72.3,-4.7
199410,63.6,-2.2
199411,59,2
199412,50.5,5.7
199501,46.4,-3.1
199502,47.9,-3
199503,58.9,5.2
199504,64,3.3
199505,72.7,4.4
199506,75.4,-1.2
199507,81.2,0.3
199508,80.6,0.3
199509,73,-4
199510,65.5,-0.3
199511,50.9,-6.1
199512,45.3,0.5
199601,44.6,-4.9
199602,49.1,-1.8
199603,51.1,-2.6
199604,60.9,0.2
199605,73.1,4.8
199606,76.7,0.1
199607,80.3,-0.6
199608,77.7,-2.6
199609,73.2,-3.8
199610,63.1,-2.7
199611,52.8,-4.2
199612,49.2,4.4
199701,48,-1.5
199702,52,1.1
199703,62.5,8.8
199704,60.1,-0.6
199705,67.1,-1.2
199706,73.5,-3.1
199707,80.3,-0.6
199708,77.5,-2.8
199709,74.8,-2.2
199710,64.1,-1.7
199711,51.4,-5.6
199712,47.2,2.4
199801,49.5,0
199802,50.3,-0.6
199803,53.7,0
199804,62.4,1.7
199805,74.1,5.8
199806,80.9,4.3
199807,82.4,1.5
199808,79.5,-0.8
199809,76.1,-0.9
199810,66.8,1
199811,59.6,2.6
199812,53,8.2
199901,49.9,0.4
199902,51.7,0.8
199903,53.4,-0.3
199904,67.1,6.4
199905,69.5,1.2
199906,76.3,-0.3
199907,80.5,-0.4
199908,82.1,1.8
199909,73.4,-3.6
199910,64.4,-1.4
199911,57.7,0.7
199912,47.9,3.1
200001,46.2,-3.3
200002,51.6,0.7
200003,59.1,5.4
200004,60.6,-0.1
200005,73.9,5.6
200006,78,1.4
200007,80.8,-0.1
200008,79.5,-0.8
200009,72.6,-4.4
200010,63.7,-2.1
200011,53.6,-3.4
200012,40.6,-4.2
200101,43.3,-6.2
200102,53.6,2.7
200103,53.8,0.1
200104,64.2,3.5
200105,70.8,2.5
200106,76.4,-0.2
200107,79.3,-1.6
200108,79.3,-1
200109,72.1,-4.9
200110,61.7,-4.1
200111,59.9,2.9
200112,52.9,8.1
200201,48.1,-1.4
200202,48.4,-2.5
200203,56.9,3.2
200204,67.9,7.2
200205,70.2,1.9
200206,77.4,0.8
200207,80.8,-0.1
200208,79.6,-0.7
200209,76.8,-0.2
200210,68.2,2.4
200211,52.3,-4.7
200212,45.7,0.9
200301,42.3,-7.2
200302,48.9,-2
200303,59,5.3
200304,62.7,2
200305,71.7,3.4
200306,76.1,-0.5
200307,78.7,-2.2
200308,79.2,-1.1
200309,73.1,-3.9
200310,64.4,-1.4
200311,59.4,2.4
200312,44.3,-0.5
200401,45,-4.5
200402,46.1,-4.8
200403,59,5.3
200404,62.2,1.5
200405,73.6,5.3
200406,78.1,1.5
200407,80.1,-0.8
200408,77.6,-2.7
200409,73.6,-3.4
200410,67.7,1.9
200411,57.9,0.9
200412,46.8,2
200501,49.5,0
200502,50.9,0
200503,53.7,0
200504,60.7,0
200505,68.3,0
200506,76.6,0
200507,80.9,0
200508,80.3,0
200509,77,0
200510,65.8,0
200511,57,0
200512,44.8,0
200601,51.8,2.3
200602,47.4,-3.5
200603,56.1,2.4
200604,67,6.3
200605,70.4,2.1
200606,77.4,0.8
200607,81,0.1
200608,81.6,1.3
200609,73.3,-3.7
200610,62.5,-3.3
200611,54.2,-2.8
200612,51.9,7.1
200701,49.2,-0.3
200702,46.7,-4.2
200703,60,6.3
200704,60.9,0.2
200705,70.5,2.2
200706,77.7,1.1
200707,78.9,-2
200708,83.2,2.9
200709,75.8,-1.2
200710,67.8,2
200711,54,-3
200712,52.9,8.1
200801,45,-4.5
200802,50.8,-0.1
200803,55.4,1.7
200804,62.6,1.9
200805,70.3,2
200806,79.4,2.8
200807,79.7,-1.2
200808,78.9,-1.4
200809,74.6,-2.4
200810,62.4,-3.4
200811,51.4,-5.6
200812,51.7,6.9
200901,46.3,-3.2
200902,47.7,-3.2
200903,56.4,2.7
200904,61.8,1.1
200905,71.3,3
200906,79.8,3.2
200907,78.5,-2.4
200908,78.8,-1.5
200909,74.5,-2.5
200910,64.1,-1.7
200911,55.6,-1.4
200912,46.2,1.4
201001,41.8,-7.7
201002,42.1,-8.8
201003,52.1,-1.6
201004,64.5,3.8
201005,73.6,5.3
201006,81,4.4
201007,82.2,1.3
201008,82.2,1.9
201009,76.5,-0.5
201010,64.8,-1
201011,54.8,-2.2
201012,39.9,-4.9
201101,41.8,-7.7
201102,51.1,0.2
201103,57.8,4.1
201104,65.8,5.1
201105,71.3,3
201106,81.1,4.5
201107,81.9,1
201108,82.2,1.9
201109,73.6,-3.4
201110,61.6,-4.2
201111,56.2,-0.8
201112,51.3,6.5
201201,50,0.5
201202,52.8,1.9
201203,64.8,11.1
201204,65.6,4.9
201205,73.5,5.2
201206,75.6,-1
201207,82.2,1.3
201208,78.1,-2.2
201209,74,-3
201210,64.7,-1.1
201211,52.6,-4.4
201212,52.1,7.3
201301,52.5,3
201302,48.8,-2.1
201303,50.2,-3.5
201304,62.9,2.2
201305,68.4,0.1
201306,77.8,1.2
201307,78.2,-2.7
201308,78,-2.3
201309,74.5,-2.5
201310,65,-0.8
201311,53.2,-3.8
