Date,Value,Anomaly
200501,49.5,2.9
200502,50.9,2.1
200503,53.7,-2.2
200504,60.7,-2.8
200505,68.3,-2.6
200506,76.6,-1.9
200507,80.9,0.7
200508,80.3,0
200509,77,2.1
200510,65.8,1.4
200511,57,3.1
200512,44.8,-4.5
200601,51.8,5.2
200602,47.4,-1.4
200603,56.1,0.2
200604,67,3.5
200605,70.4,-0.5
200606,77.4,-1.1
200607,81,0.8
200608,81.6,1.3
200609,73.3,-1.6
200610,62.5,-1.9
200611,54.2,0.3
200612,51.9,2.6
200701,49.2,2.6
200702,46.7,-2.1
200703,60,4.1
200704,60.9,-2.6
200705,70.5,-0.4
200706,77.7,-0.8
200707,78.9,-1.3
200708,83.2,2.9
200709,75.8,0.9
200710,67.8,3.4
200711,54,0.1
200712,52.9,3.6
200801,45,-1.6
200802,50.8,2
200803,55.4,-0.5
200804,62.6,-0.9
200805,70.3,-0.6
200806,79.4,0.9
200807,79.7,-0.5
200808,78.9,-1.4
200809,74.6,-0.3
200810,62.4,-2
200811,51.4,-2.5
200812,51.7,2.4
200901,46.3,-0.3
200902,47.7,-1.1
200903,56.4,0.5
200904,61.8,-1.7
200905,71.3,0.4
200906,79.8,1.3
200907,78.5,-1.7
200908,78.8,-1.5
200909,74.5,-0.4
200910,64.1,-0.3
200911,55.6,1.7
200912,46.2,-3.1
201001,41.8,-4.8
201002,42.1,-6.7
201003,52.1,-3.8
201004,64.5,1
201005,73.6,2.7
201006,81,2.5
201007,82.2,2
201008,82.2,1.9
201009,76.5,1.6
201010,64.8,0.4
201011,54.8,0.9
201012,39.9,-9.4
201101,41.8,-4.8
201102,51.1,2.3
201103,57.8,1.9
201104,65.8,2.3
201105,71.3,0.4
201106,81.1,2.6
201107,81.9,1.7
201108,82.2,1.9
201109,73.6,-1.3
201110,61.6,-2.8
201111,56.2,2.3
201112,51.3,2
201201,50,3.4
201202,52.8,4
201203,64.8,8.9
201204,65.6,2.1
201205,73.5,2.6
201206,75.6,-2.9
201207,82.2,2
201208,78.1,-2.2
201209,74,-0.9
201210,64.7,0.3
201211,52.6,-1.3
201212,52.1,2.8
201301,52.5,5.9
201302,48.8,0
201303,50.2,-5.7
201304,62.9,-0.6
201305,68.4,-2.5
201306,77.8,-0.7
201307,78.2,-2
201308,78,-2.3
201309,74.5,-0.4
201310,65,0.6
201311,53.2,-0.7
201312,51.2,1.9
201401,40,-6.6
201402,49.8,1
201403,52.9,-3
201404,63.1,-0.4
201405,71.2,0.3
201406,78.3,-0.2
201407,78.9,-1.3
201408,79.2,-1.1
201409,75.5,0.6
201410,65.6,1.2
201411,49.8,-4.1
201412,51.3,2
201501,44.9,-1.7
