Date,Value,Anomaly
199201,46.2,-3.3
199202,52.2,52.2
199203,55.2,55.2
199204,61.2,61.2
199205,67.8,67.8
199206,75.2,75.2
199207,80.2,80.2
199208,77,77
199209,73.8,73.8
199210,61.9,61.9
199211,54.8,54.8
199212,47.3,47.3
199301,50.3,0.8
199302,46.6,46.6
199303,52.6,52.6
199304,59,59
199305,69.7,69.7
199306,78.1,78.1
199307,83.1,83.1
199308,80.1,80.1
199309,75.7,75.7
199310,64,64
199311,53.8,53.8
199312,45.7,45.7
199401,42.3,-7.2
199402,51.6,51.6
199403,57.5,57.5
199404,65.3,65.3
199405,68.8,68.8
199406,77.6,77.6
199407,78,78
199408,77,77
199409,72.3,72.3
199410,63.6,63.6
199411,59,59
199412,50.5,50.5
199501,46.4,-3.1
199502,47.9,47.9
199503,58.9,58.9
199504,64,64
199505,72.7,72.7
199506,75.4,75.4
199507,81.2,81.2
199508,80.6,80.6
199509,73,73
199510,65.5,65.5
199511,50.9,50.9
199512,45.3,45.3
199601,44.6,-4.9
199602,49.1,49.1
199603,51.1,51.1
199604,60.9,60.9
199605,73.1,73.1
199606,76.7,76.7
199607,80.3,80.3
199608,77.7,77.7
199609,73.2,73.2
199610,63.1,63.1
199611,52.8,52.8
199612,49.2,49.2
199701,48,-1.5
199702,52,52
199703,62.5,62.5
199704,60.1,60.1
199705,67.1,67.1
199706,73.5,73.5
199707,80.3,80.3
199708,77.5,77.5
199709,74.8,74.8
199710,64.1,64.1
199711,51.4,51.4
199712,47.2,47.2
199801,49.5,0
199802,50.3,50.3
199803,53.7,53.7
199804,62.4,62.4
199805,74.1,74.1
199806,80.9,80.9
199807,82.4,82.4
199808,79.5,79.5
199809,76.1,76.1
199810,66.8,66.8
199811,59.6,59.6
199812,53,53
199901,49.9,0.4
199902,51.7,51.7
199903,53.4,53.4
199904,67.1,67.1
199905,69.5,69.5
199906,76.3,76.3
199907,80.5,80.5
199908,82.1,82.1
199909,73.4,73.4
199910,64.4,64.4
199911,57.7,57.7
199912,47.9,47.9
200001,46.2,-3.3
200002,51.6,51.6
200003,59.1,59.1
200004,60.6,60.6
200005,73.9,73.9
200006,78,78
200007,80.8,80.8
200008,79.5,79.5
200009,72.6,72.6
200010,63.7,63.7
200011,53.6,53.6
200012,40.6,40.6
200101,43.3,-6.2
200102,53.6,53.6
200103,53.8,53.8
200104,64.2,64.2
200105,70.8,70.8
200106,76.4,76.4
200107,79.3,79.3
200108,79.3,79.3
200109,72.1,72.1
200110,61.7,61.7
200111,59.9,59.9
200112,52.9,52.9
200201,48.1,-1.4
200202,48.4,48.4
200203,56.9,56.9
200204,67.9,67.9
200205,70.2,70.2
200206,77.4,77.4
200207,80.8,80.8
200208,79.6,79.6
200209,76.8,76.8
200210,68.2,68.2
200211,52.3,52.3
200212,45.7,45.7
200301,42.3,-7.2
200302,48.9,48.9
200303,59,59
200304,62.7,62.7
200305,71.7,71.7
200306,76.1,76.1
200307,78.7,78.7
200308,79.2,79.2
200309,73.1,73.1
200310,64.4,64.4
200311,59.4,59.4
200312,44.3,44.3
200401,45,-4.5
200402,46.1,46.1
200403,59,59
200404,62.2,62.2
200405,73.6,73.6
200406,78.1,78.1
200407,80.1,80.1
200408,77.6,77.6
200409,73.6,73.6
200410,67.7,67.7
200411,57.9,57.9
200412,46.8,46.8
200501,49.5,0
