Date,Value,Anomaly
199201,56.7,-4.2
199202,63.6,2.1
199203,68,2.6
199204,74.4,0.7
199205,80.5,-0.3
199206,85.3,-0.5
199207,90.5,0.4
199208,86.3,-3
199209,83.3,-5.1
199210,73.7,-3
199211,65,-5
199212,56.6,0.1
199301,59.5,-1.4
199302,57.4,-4.1
199303,63.9,-1.5
199304,72.8,-0.9
199305,82,1.2
199306,89.8,4
199307,95.5,5.4
199308,91.3,2
199309,87.5,-0.9
199310,75.6,-1.1
199311,65.9,-4.1
199312,56.7,0.2
199401,53.2,-7.7
199402,63.4,1.9
199403,70.7,5.3
199404,78.9,5.2
199405,81.1,0.3
199406,87.6,1.8
199407,87.1,-3
199408,86.8,-2.5
199409,82.8,-5.6
199410,73.4,-3.3
199411,70.4,0.4
199412,60,3.5
199501,57.4,-3.5
199502,59.1,-2.4
199503,70.6,5.2
199504,77.6,3.9
199505,85.2,4.4
199506,86.1,0.3
199507,92.6,2.5
199508,90.3,1
199509,83,-5.4
199510,76.9,0.2
199511,63.3,-6.7
199512,56.4,-0.1
199601,56.6,-4.3
199602,61.7,0.2
199603,62.7,-2.7
199604,74.7,1
199605,85.8,5
199606,88.1,2.3
199607,90.8,0.7
199608,87.6,-1.7
199609,83.9,-4.5
199610,75.1,-1.6
199611,64.5,-5.5
199612,61.4,4.9
199701,58.5,-2.4
199702,62.7,1.2
199703,75.2,9.8
199704,73.2,-0.5
199705,79.4,-1.4
199706,82.9,-2.9
199707,91,0.9
199708,88.4,-0.9
199709,86.7,-1.7
199710,75.2,-1.5
199711,62.3,-7.7
199712,57.3,0.8
199801,59.7,-1.2
199802,60.8,-0.7
199803,64.9,-0.5
199804,74,0.3
199805,86,5.2
199806,93.6,7.8
199807,93.1,3
199808,90.7,1.4
199809,86.4,-2
199810,79.5,2.8
199811,71.1,1.1
199812,63.3,6.8
199901,62.4,1.5
199902,63.9,2.4
199903,67.2,1.8
199904,79.7,6
199905,82.1,1.3
199906,86.4,0.6
199907,90.7,0.6
199908,94.1,4.8
199909,85.9,-2.5
199910,75.8,-0.9
199911,71,1
199912,60.5,4
200001,57.2,-3.7
200002,65.8,4.3
200003,72.3,6.9
200004,74.1,0.4
200005,87,6.2
200006,90.5,4.7
200007,92.9,2.8
200008,90.8,1.5
200009,82.1,-6.3
200010,78,1.3
200011,65.4,-4.6
200012,51.2,-5.3
200101,55.6,-5.3
200102,65.5,4
200103,64.9,-0.5
200104,77.2,3.5
200105,84.1,3.3
200106,86.6,0.8
200107,89.4,-0.7
200108,89.5,0.2
200109,82.9,-5.5
200110,75.7,-1
200111,74.1,4.1
200112,64.8,8.3
200201,60,-0.9
200202,61.6,0.1
200203,70.7,5.3
200204,79.8,6.1
200205,83,2.2
200206,88.4,2.6
200207,91.7,1.6
200208,90.8,1.5
200209,85.8,-2.6
200210,76.7,0
200211,63.9,-6.1
200212,56.7,0.2
200301,53.9,-7
200302,60.2,-1.3
200303,69.3,3.9
200304,74.6,0.9
200305,82.1,1.3
200306,86.3,0.5
200307,87.9,-2.2
200308,88.2,-1.1
200309,83.9,-4.5
200310,76.2,-0.5
200311,72.1,2.1
200312,57.1,0.6
200401,57.4,-3.5
200402,55.6,-5.9
200403,72.6,7.2
200404,76.7,3
200405,85.7,4.9
200406,88,2.2
200407,90.5,0.4
200408,87.7,-1.6
200409,82.3,-6.1
200410,77.4,0.7
200411,68.7,-1.3
200412,58.8,2.3
200501,60.9,0
200502,61.5,0
200503,65.4,0
200504,73.7,0
200505,80.8,0
200506,85.8,0
200507,90.1,0
200508,89.3,0
200509,88.4,0
200510,76.7,0
200511,70,0
200512,56.5,0
200601,63.8,2.9
200602,58.9,-2.6
200603,69.1,3.7
200604,80.6,6.9
200605,82.8,2
200606,90,4.2
200607,92.8,2.7
200608,92.3,3
200609,84.2,-4.2
200610,75.5,-1.2
200611,66.8,-3.2
200612,64.2,7.7
200701,59.5,-1.4
200702,59.5,-2
200703,74,8.6
200704,74.9,1.2
200705,84.6,3.8
200706,89.6,3.8
200707,89.3,-0.8
200708,94.7,5.4
200709,86.6,-1.8
200710,78.7,2
200711,67.9,-2.1
200712,64.4,7.9
200801,55.8,-5.1
200802,64.5,3
200803,69.2,3.8
200804,74.8,1.1
200805,82.8,2
200806,91.8,6
200807,90.9,0.8
200808,88.5,-0.8
200809,84.8,-3.6
200810,74.2,-2.5
200811,64,-6
200812,62.7,6.2
200901,57.6,-3.3
200902,61.4,-0.1
200903,68.1,2.7
200904,74.2,0.5
200905,80.7,-0.1
200906,90.9,5.1
200907,89.3,-0.8
200908,88.8,-0.5
200909,83.6,-4.8
200910,74,-2.7
200911,67.1,-2.9
200912,56,-0.5
201001,52.7,-8.2
201002,52.5,-9
201003,63.7,-1.7
201004,79.1,5.4
201005,84.8,4
201006,92.1,6.3
201007,93,2.9
201008,91.8,2.5
201009,89.4,1
201010,79.3,2.6
201011,68.3,-1.7
201012,51.5,-5
201101,52.8,-8.1
201102,63.2,1.7
201103,70,4.6
201104,79.7,6
201105,85.2,4.4
201106,94.1,8.3
201107,92.6,2.5
201108,94.4,5.1
201109,85,-3.4
201110,74.4,-2.3
201111,68.9,-1.1
201112,62.8,6.3
201201,62.6,1.7
201202,64.2,2.7
201203,76.8,11.4
201204,78.6,4.9
201205,85.3,4.5
201206,86.9,1.1
201207,93.2,3.1
201208,87.6,-1.7
201209,85,-3.4
201210,76,-0.7
201211,65.8,-4.2
201212,62.8,6.3
201301,63.5,2.6
201302,60,-1.5
201303,62.4,-3
201304,75.2,1.5
201305,79.8,-1
201306,87.4,1.6
201307,86.5,-3.6
201308,86.8,-2.5
201309,84.5,-3.9
201310,76.4,-0.3
201311,64.7,-5.3
201312,61.6,5.1
201401,51.6,-9.3
201402,61.6,0.1
201403,65.4,0
201404,75.6,1.9
201405,83.4,2.6
201406,89.1,3.3
201407,89.4,-0.7
201408,90.5,1.2
201409,84.8,-3.6
201410,78.7,2
201411,63.1,-6.9
201412,62.3,5.8
201501,55.8,-5.1
