Date,Value,Anomaly
199201,35.6,-2.5
199202,40.8,0.5
199203,42.3,0.3
199204,48.1,0.4
199205,55.2,-0.5
199206,65.1,-2.2
199207,69.8,-1.8
199208,67.6,-3.7
199209,64.4,-1.2
199210,50,-4.9
199211,44.6,0.6
199212,38,5
199301,41.1,3
199302,35.7,-4.6
199303,41.3,-0.7
199304,45.4,-2.3
199305,57.4,1.7
199306,66.3,-1
199307,70.8,-0.8
199308,68.9,-2.4
199309,63.9,-1.7
199310,52.3,-2.6
199311,41.8,-2.2
199312,34.6,1.6
199401,31.5,-6.6
199402,39.9,-0.4
199403,44.3,2.3
199404,51.7,4
199405,56.4,0.7
199406,67.7,0.4
199407,68.8,-2.8
199408,67.2,-4.1
199409,61.8,-3.8
199410,53.8,-1.1
199411,47.6,3.6
199412,41,8
199501,35.4,-2.7
199502,36.6,-3.7
199503,47.1,5.1
199504,50.4,2.7
199505,60.2,4.5
199506,64.8,-2.5
199507,69.8,-1.8
199508,70.8,-0.5
199509,63,-2.6
199510,54.1,-0.8
199511,38.5,-5.5
199512,34.2,1.2
199601,32.6,-5.5
199602,36.5,-3.8
199603,39.5,-2.5
199604,47.2,-0.5
199605,60.4,4.7
199606,65.3,-2
199607,69.8,-1.8
199608,67.9,-3.4
199609,62.4,-3.2
199610,51.1,-3.8
199611,41,-3
199612,37.1,4.1
199701,37.5,-0.6
199702,41.4,1.1
199703,49.8,7.8
199704,47,-0.7
199705,54.7,-1
199706,64.2,-3.1
199707,69.7,-1.9
199708,66.6,-4.7
199709,63,-2.6
199710,52.9,-2
199711,40.4,-3.6
199712,37.1,4.1
199801,39.2,1.1
199802,39.8,-0.5
199803,42.4,0.4
199804,50.8,3.1
199805,62.2,6.5
199806,68.3,1
199807,71.7,0.1
199808,68.3,-3
199809,65.9,0.3
199810,54.1,-0.8
199811,48.1,4.1
199812,42.7,9.7
199901,37.3,-0.8
199902,39.6,-0.7
199903,39.6,-2.4
199904,54.4,6.7
199905,56.8,1.1
199906,66.2,-1.1
199907,70.3,-1.3
199908,70.1,-1.2
199909,60.8,-4.8
199910,53.1,-1.8
199911,44.4,0.4
199912,35.3,2.3
200001,35.2,-2.9
200002,37.4,-2.9
200003,46,4
200004,47.2,-0.5
200005,60.9,5.2
200006,65.4,-1.9
200007,68.8,-2.8
200008,68.2,-3.1
200009,63.1,-2.5
200010,49.5,-5.4
200011,41.8,-2.2
200012,30,-3
200101,31,-7.1
200102,41.6,1.3
200103,42.7,0.7
200104,51.2,3.5
200105,57.5,1.8
200106,66.1,-1.2
200107,69.2,-2.4
200108,69.1,-2.2
200109,61.2,-4.4
200110,47.6,-7.3
200111,45.8,1.8
200112,40.9,7.9
200201,36.1,-2
200202,35.2,-5.1
200203,43,1
200204,56,8.3
200205,57.4,1.7
200206,66.3,-1
200207,69.9,-1.7
200208,68.3,-3
200209,67.7,2.1
200210,59.6,4.7
200211,40.8,-3.2
200212,34.7,1.7
200301,30.6,-7.5
200302,37.7,-2.6
200303,48.7,6.7
200304,50.8,3.1
200305,61.3,5.6
200306,65.9,-1.4
200307,69.5,-2.1
200308,70,-1.3
200309,62.2,-3.4
200310,52.6,-2.3
200311,46.5,2.5
200312,31.6,-1.4
200401,32.5,-5.6
200402,36.5,-3.8
200403,45.4,3.4
200404,47.7,0
200405,61.5,5.8
200406,68.1,0.8
200407,69.6,-2
200408,67.6,-3.7
200409,64.9,-0.7
200410,58,3.1
200411,47.1,3.1
200412,34.8,1.8
200501,38.1,0
200502,40.3,0
200503,42,0
200504,47.7,0
200505,55.7,0
200506,67.3,0
200507,71.6,0
200508,71.3,0
200509,65.6,0
200510,54.9,0
200511,44,0
200512,33,0
200601,39.8,1.7
200602,36,-4.3
200603,43,1
200604,53.3,5.6
200605,58,2.3
200606,64.7,-2.6
200607,69.2,-2.4
200608,71,-0.3
200609,62.3,-3.3
200610,49.6,-5.3
200611,41.6,-2.4
200612,39.6,6.6
200701,38.9,0.8
200702,34,-6.3
200703,45.9,3.9
200704,47,-0.7
200705,56.4,0.7
200706,65.8,-1.5
200707,68.5,-3.1
200708,71.7,0.4
200709,64.9,-0.7
200710,56.8,1.9
200711,40,-4
200712,41.4,8.4
200801,34.2,-3.9
200802,37.1,-3.2
200803,41.6,-0.4
200804,50.3,2.6
200805,57.8,2.1
200806,66.9,-0.4
200807,68.6,-3
200808,69.3,-2
200809,64.3,-1.3
200810,50.6,-4.3
200811,38.8,-5.2
200812,40.7,7.7
200901,34.8,-3.3
200902,34,-6.3
200903,44.6,2.6
200904,49.4,1.7
200905,61.8,6.1
200906,68.5,1.2
200907,67.6,-4
200908,68.8,-2.5
200909,65.5,-0.1
200910,54.1,-0.8
200911,44,0
200912,36.4,3.4
201001,30.8,-7.3
201002,31.8,-8.5
201003,40.5,-1.5
201004,49.9,2.2
201005,62.4,6.7
201006,69.9,2.6
201007,71.3,-0.3
201008,72.6,1.3
201009,63.6,-2
201010,50.2,-4.7
201011,41.3,-2.7
201012,28.3,-4.7
201101,30.8,-7.3
201102,39.1,-1.2
201103,45.6,3.6
201104,51.9,4.2
201105,57.4,1.7
201106,68,0.7
201107,71.2,-0.4
201108,70,-1.3
201109,62.4,-3.2
201110,48.7,-6.2
201111,43.4,-0.6
201112,39.7,6.7
201201,37.5,-0.6
201202,41.3,1
201203,52.8,10.8
201204,52.6,4.9
201205,61.7,6
201206,64.3,-3
201207,71.1,-0.5
201208,68.6,-2.7
201209,63,-2.6
201210,53.3,-1.6
201211,39.4,-4.6
201212,41.4,8.4
201301,41.5,3.4
201302,37.5,-2.8
201303,38,-4
201304,50.6,2.9
201305,57,1.3
201306,68.2,0.9
201307,69.9,-1.7
201308,69.2,-2.1
201309,64.4,-1.2
201310,53.6,-1.3
201311,41.6,-2.4
201312,40.7,7.7
201401,28.3,-9.8
201402,38.1,-2.2
201403,40.4,-1.6
201404,50.6,2.9
201405,59,3.3
201406,67.6,0.3
201407,68.4,-3.2
201408,68,-3.3
201409,66.3,0.7
201410,52.4,-2.5
201411,36.6,-7.4
201412,40.3,7.3
201501,34.1,-4
