Date,Value,Anomaly
199201,6.13,3.91
199202,5.31,1
199203,4.99,-1.94
199204,2.32,-2.64
199205,2.17,-0.86
199206,5.96,-1.66
199207,5.2,-3.02
199208,7.44,1.4
199209,4.26,3.27
199210,3.47,0.16
199211,7.83,4.91
199212,3.66,-0.53
199301,6.54,4.32
199302,3.8,-0.51
199303,7.04,0.11
199304,2.5,-2.46
199305,2.29,-0.74
199306,3.25,-4.37
199307,3.11,-5.11
199308,3.15,-2.89
199309,3.02,2.03
199310,4.31,1
199311,3.7,0.78
199312,3.15,-1.04
199401,5.37,3.15
199402,3.56,-0.75
199403,6.59,-0.34
199404,2.92,-2.04
199405,2.21,-0.82
199406,7.64,0.02
199407,8.95,0.73
199408,5.6,-0.44
199409,4.01,3.02
199410,8.05,4.74
199411,3.22,0.3
199412,3.11,-1.08
199501,4.5,2.28
199502,6.09,1.78
199503,3.16,-3.77
199504,1.99,-2.97
199505,2.45,-0.58
199506,6.16,-1.46
199507,3.5,-4.72
199508,6.67,0.63
199509,3.38,2.39
199510,5.05,1.74
199511,3.98,1.06
199512,2.74,-1.45
199601,5.4,3.18
199602,3.19,-1.12
199603,7.47,0.54
199604,3.43,-1.53
199605,2.65,-0.38
199606,3.15,-4.47
199607,4.21,-4.01
199608,5.19,-0.85
199609,4.41,3.42
199610,3.3,-0.01
199611,2.46,-0.46
199612,3.84,-0.35
199701,5.59,3.37
199702,5.66,1.35
199703,2.78,-4.15
199704,4.74,-0.22
199705,3.3,0.27
199706,4.84,-2.78
199707,4.87,-3.35
199708,2.92,-3.12
199709,4.9,3.91
199710,5.7,2.39
199711,5.63,2.71
199712,6.36,2.17
199801,5.98,3.76
199802,7.61,3.3
199803,6.15,-0.78
199804,6.33,1.37
199805,2.72,-0.31
199806,2.66,-4.96
199807,4.69,-3.53
199808,4.04,-2
199809,7.1,6.11
199810,1.4,-1.91
199811,1.68,-1.24
199812,2.54,-1.65
199901,5.33,3.11
199902,2.98,-1.33
199903,2.45,-4.48
199904,1.97,-2.99
199905,2.81,-0.22
199906,6.14,-1.48
199907,4.91,-3.31
199908,3.14,-2.9
199909,3.89,2.9
199910,2.8,-0.51
199911,2.26,-0.66
199912,2.18,-2.01
200001,4.68,2.46
200002,1.8,-2.51
200003,4.74,-2.19
200004,2.7,-2.26
200005,1,-2.03
200006,3.89,-3.73
200007,3.55,-4.67
200008,4.22,-1.82
200009,6.68,5.69
200010,0.48,-2.83
200011,4.3,1.38
200012,3.34,-0.85
200101,2.83,0.61
200102,2.02,-2.29
200103,8.97,2.04
200104,1.84,-3.12
200105,2.7,-0.33
200106,7.38,-0.24
200107,5.23,-2.99
200108,2.93,-3.11
200109,3.92,2.93
200110,0.86,-2.45
200111,1.37,-1.55
200112,1.75,-2.44
200201,4.11,1.89
200202,2.33,-1.98
200203,5.6,-1.33
200204,2.18,-2.78
200205,3.15,0.12
200206,3.51,-4.11
200207,4.42,-3.8
200208,3.72,-2.32
200209,6.13,5.14
200210,4.43,1.12
200211,4.88,1.96
200212,5.26,1.07
200301,1.77,-0.45
200302,5.31,1
200303,7.33,0.4
200304,4.73,-0.23
200305,6.33,3.3
200306,7.22,-0.4
200307,7.59,-0.63
200308,5.78,-0.26
200309,2.88,1.89
200310,2.99,-0.32
200311,2.82,-0.1
200312,2.48,-1.71
200401,2.85,0.63
200402,5.34,1.03
200403,0.92,-6.01
200404,2.1,-2.86
200405,3,-0.03
200406,7.32,-0.3
200407,4.31,-3.91
200408,4.78,-1.26
200409,12.02,11.03
200410,1.85,-1.46
200411,4.65,1.73
200412,3.02,-1.17
200501,2.22,0
200502,4.31,0
200503,6.93,0
200504,4.96,0
200505,3.03,0
200506,7.62,0
200507,8.22,0
200508,6.04,0
200509,0.99,0
200510,3.31,0
200511,2.92,0
200512,4.19,0
200601,4.1,1.88
200602,4.35,0.04
