Date,Value,Anomaly
199201,6.13,3.91
199202,5.31,5.31
199203,4.99,4.99
199204,2.32,2.32
199205,2.17,2.17
199206,5.96,5.96
199207,5.2,5.2
199208,7.44,7.44
199209,4.26,4.26
199210,3.47,3.47
199211,7.83,7.83
199212,3.66,3.66
199301,6.54,4.32
199302,3.8,3.8
199303,7.04,7.04
199304,2.5,2.5
199305,2.29,2.29
199306,3.25,3.25
199307,3.11,3.11
199308,3.15,3.15
199309,3.02,3.02
199310,4.31,4.31
199311,3.7,3.7
199312,3.15,3.15
199401,5.37,3.15
199402,3.56,3.56
199403,6.59,6.59
199404,2.92,2.92
199405,2.21,2.21
199406,7.64,7.64
199407,8.95,8.95
199408,5.6,5.6
199409,4.01,4.01
199410,8.05,8.05
199411,3.22,3.22
199412,3.11,3.11
199501,4.5,2.28
199502,6.09,6.09
199503,3.16,3.16
199504,1.99,1.99
199505,2.45,2.45
199506,6.16,6.16
199507,3.5,3.5
199508,6.67,6.67
199509,3.38,3.38
199510,5.05,5.05
199511,3.98,3.98
199512,2.74,2.74
199601,5.4,3.18
199602,3.19,3.19
199603,7.47,7.47
199604,3.43,3.43
199605,2.65,2.65
199606,3.15,3.15
199607,4.21,4.21
199608,5.19,5.19
199609,4.41,4.41
199610,3.3,3.3
199611,2.46,2.46
199612,3.84,3.84
199701,5.59,3.37
199702,5.66,5.66
199703,2.78,2.78
199704,4.74,4.74
199705,3.3,3.3
199706,4.84,4.84
199707,4.87,4.87
199708,2.92,2.92
199709,4.9,4.9
199710,5.7,5.7
199711,5.63,5.63
199712,6.36,6.36
199801,5.98,3.76
199802,7.61,7.61
199803,6.15,6.15
199804,6.33,6.33
199805,2.72,2.72
199806,2.66,2.66
199807,4.69,4.69
199808,4.04,4.04
199809,7.1,7.1
199810,1.4,1.4
199811,1.68,1.68
199812,2.54,2.54
199901,5.33,3.11
199902,2.98,2.98
199903,2.45,2.45
199904,1.97,1.97
199905,2.81,2.81
199906,6.14,6.14
199907,4.91,4.91
199908,3.14,3.14
199909,3.89,3.89
199910,2.8,2.8
199911,2.26,2.26
199912,2.18,2.18
200001,4.68,2.46
200002,1.8,1.8
200003,4.74,4.74
200004,2.7,2.7
200005,1,1
200006,3.89,3.89
200007,3.55,3.55
200008,4.22,4.22
200009,6.68,6.68
200010,0.48,0.48
200011,4.3,4.3
200012,3.34,3.34
200101,2.83,0.61
200102,2.02,2.02
200103,8.97,8.97
200104,1.84,1.84
200105,2.7,2.7
200106,7.38,7.38
200107,5.23,5.23
200108,2.93,2.93
200109,3.92,3.92
200110,0.86,0.86
200111,1.37,1.37
200112,1.75,1.75
200201,4.11,1.89
200202,2.33,2.33
200203,5.6,5.6
200204,2.18,2.18
200205,3.15,3.15
200206,3.51,3.51
200207,4.42,4.42
200208,3.72,3.72
200209,6.13,6.13
200210,4.43,4.43
200211,4.88,4.88
200212,5.26,5.26
200301,1.77,-0.45
200302,5.31,5.31
200303,7.33,7.33
200304,4.73,4.73
200305,6.33,6.33
200306,7.22,7.22
200307,7.59,7.59
200308,5.78,5.78
200309,2.88,2.88
200310,2.99,2.99
200311,2.82,2.82
200312,2.48,2.48
200401,2.85,0.63
200402,5.34,5.34
200403,0.92,0.92
200404,2.1,2.1
200405,3,3
200406,7.32,7.32
200407,4.31,4.31
200408,4.78,4.78
200409,12.02,12.02
200410,1.85,1.85
200411,4.65,4.65
200412,3.02,3.02
200501,2.22,0
