OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
55,Lightning,WA,6/19/2005,6/20/2005,2005,0.3,46.22083333,-117.785,1
120,Campfire,WA,7/16/2005,7/16/2005,2005,0.1,46.08055556,-117.8908333,0
933,Railroad,WA,5/26/2005,5/26/2005,2005,0.1,45.665,-121.2036111,0
939,Miscellaneous,WA,8/3/2005,8/3/2005,2005,0.1,48.35666667,-117.0608333,0
967,Railroad,WA,7/4/2005,7/4/2005,2005,0.1,45.69944444,-121.4136111,0
1060,Lightning,WA,8/1/2005,8/1/2005,2005,0.1,46.10555556,-117.7888889,0
1106,Equipment Use,WA,6/10/2005,6/10/2005,2005,1,45.715,-121.3483333,0
1182,Equipment Use,WA,6/14/2005,6/14/2005,2005,1,45.66416667,-121.0108333,0
1187,Children,WA,6/30/2005,6/30/2005,2005,0.5,45.66222222,-120.9158333,0
1243,Miscellaneous,WA,7/4/2005,7/4/2005,2005,0.1,45.70222222,-121.7525,0
1643,Miscellaneous,WA,8/28/2005,8/29/2005,2005,7,45.78694444,-121.4008333,1
1644,Railroad,WA,7/28/2005,7/28/2005,2005,3,45.63305556,-121.1113889,0
1663,Smoking,WA,8/6/2005,8/7/2005,2005,2,45.7,-121.7238889,1
2049,Lightning,WA,8/10/2005,8/11/2005,2005,0.3,48.70666667,-117.0983333,1
2055,Lightning,WA,8/10/2005,8/12/2005,2005,1,48.82333333,-117.0544444,2
2060,Lightning,WA,8/10/2005,8/10/2005,2005,0.1,48.80111111,-117.0619444,0
3214,Campfire,WA,9/25/2005,9/25/2005,2005,0.1,46.08638889,-121.6016667,0
3218,Campfire,WA,8/13/2005,8/13/2005,2005,0.1,45.94277778,-121.7269444,0
3345,Campfire,WA,7/31/2005,7/31/2005,2005,0.1,45.95194444,-121.7102778,0
3428,Campfire,WA,8/25/2005,8/25/2005,2005,0.1,46.09277778,-121.7630556,0
3429,Campfire,WA,8/13/2005,8/13/2005,2005,0.1,47.81555556,-122.9647222,0
3434,Campfire,WA,8/1/2005,8/1/2005,2005,0.1,45.93888889,-121.7666667,0
3435,Miscellaneous,WA,8/27/2005,8/27/2005,2005,0.1,46.01333333,-121.8336111,0
3593,Campfire,WA,8/20/2005,8/20/2005,2005,0.1,47.99027778,-123.0161111,0
3594,Campfire,WA,8/28/2005,8/28/2005,2005,0.1,47.40611111,-123.4344444,0
3595,Campfire,WA,9/20/2005,9/21/2005,2005,0.1,47.9475,-123.1527778,1
3596,Miscellaneous,WA,9/9/2005,9/11/2005,2005,0.1,47.32833333,-123.7919444,2
3599,Campfire,WA,7/31/2005,7/31/2005,2005,0.1,48.06666667,-124.1141667,0
3600,Campfire,WA,9/24/2005,9/25/2005,2005,0.1,47.7625,-123.1069444,1
3602,Campfire,WA,5/7/2005,5/7/2005,2005,0.1,47.56972222,-121.6666667,0
3724,Campfire,WA,5/8/2005,5/8/2005,2005,0.1,47.54055556,-121.5816667,0
3726,Campfire,WA,5/30/2005,5/30/2005,2005,0.1,47.67944444,-121.3119444,0
3765,Campfire,WA,5/29/2005,5/29/2005,2005,0.1,47.38055556,-121.3908333,0
3768,Campfire,WA,6/4/2005,6/4/2005,2005,0.1,47.03194444,-121.7166667,0
