Date,Value,Anomaly
200501,44.1,0
200502,47.1,0
200503,51.1,0
200504,53,0
200505,62.2,0
200506,66.2,0
200507,78.4,0
200508,75.8,0
200509,66.9,0
200510,59.9,0
200511,52.4,0
200512,46.1,0
200601,44.6,0.5
200602,47.7,0.6
200603,44,-7.1
200604,53,0
200605,64.6,2.4
200606,73.2,7
200607,79.3,0.9
200608,73.8,-2
200609,69.5,2.6
200610,58.8,-1.1
200611,51.3,-1.1
200612,43.9,-2.2
200701,41.5,-2.6
200702,46.7,-0.4
200703,54.4,3.3
200704,56.3,3.3
200705,64.1,1.9
200706,70.5,4.3
200707,76.9,-1.5
200708,76.1,0.3
200709,67.5,0.6
200710,58.6,-1.3
200711,53.3,0.9
200712,41.2,-4.9
200801,41.1,-3
200802,45.8,-1.3
200803,50.3,-0.8
200804,54.4,1.4
200805,61.7,-0.5
200806,71.1,4.9
200807,76.5,-1.9
200808,76.6,0.8
200809,71.8,4.9
200810,61.8,1.9
200811,53.9,1.5
200812,42,-4.1
200901,46.9,2.8
200902,45.2,-1.9
200903,49.2,-1.9
200904,54.3,1.3
200905,66.7,4.5
200906,67.5,1.3
200907,77.6,-0.8
200908,74.8,-1
200909,73,6.1
200910,58.1,-1.8
200911,50.9,-1.5
200912,41.8,-4.3
201001,45.2,1.1
201002,46.8,-0.3
201003,49,-2.1
201004,50.9,-2.1
201005,56.9,-5.3
201006,69.1,2.9
201007,76.1,-2.3
201008,73.4,-2.4
201009,70.4,3.5
201010,60.5,0.6
201011,48.6,-3.8
201012,45.8,-0.3
201101,45.2,1.1
201102,43.4,-3.7
201103,48.7,-2.4
201104,53.4,0.4
201105,57.6,-4.6
201106,66.9,0.7
201107,74.2,-4.2
201108,75.2,-0.6
201109,72.2,5.3
201110,61.4,1.5
201111,48.2,-4.2
201112,42.8,-3.3
201201,46.5,2.4
201202,46.5,-0.6
201203,48.8,-2.3
201204,55.8,2.8
201205,63.9,1.7
201206,69.3,3.1
201207,74.7,-3.7
201208,77.8,2
201209,73.1,6.2
201210,62.2,2.3
201211,52.5,0.1
201212,43,-3.1
201301,42.1,-2
201302,45.3,-1.8
201303,53.8,2.7
201304,58.2,5.2
201305,63.8,1.6
201306,72.4,6.2
201307,78,-0.4
201308,74.4,-1.4
201309,69.3,2.4
201310,58.5,-1.4
201311,51.9,-0.5
201312,44.1,-2
201401,50.1,6
201402,49.8,2.7
201403,53.5,2.4
201404,57.7,4.7
201405,64.6,2.4
201406,71.9,5.7
201407,78.4,0
201408,74.9,-0.9
201409,72.2,5.3
201410,64.4,4.5
201411,53.1,0.7
201412,46.8,0.7
201501,48.6,4.5
