Date,Value,Anomaly
200501,52.4,0
200502,56.1,0
200503,62.2,0
200504,65.6,0
200505,74.8,0
200506,79.9,0
200507,93.5,0
200508,91,0
200509,81.7,0
200510,73,0
200511,64,0
200512,55.5,0
200601,54.2,1.8
200602,60.1,4
200603,53.7,-8.5
200604,63.9,-1.7
200605,78.5,3.7
200606,87.8,7.9
200607,94.2,0.7
200608,89.2,-1.8
200609,84.8,3.1
200610,72.2,-0.8
200611,62.2,-1.8
200612,54.7,-0.8
200701,53.6,1.2
200702,57,0.9
200703,68,5.8
200704,69.4,3.8
200705,78.6,3.8
200706,85.9,6
200707,91.8,-1.7
200708,91.1,0.1
200709,81.5,-0.2
200710,71.1,-1.9
200711,65.6,1.6
200712,50.7,-4.8
200801,49.7,-2.7
200802,56.9,0.8
200803,63.1,0.9
200804,68.4,2.8
200805,75.1,0.3
200806,86.7,6.8
200807,91.4,-2.1
200808,91.6,0.6
200809,87.3,5.6
200810,76.1,3.1
200811,64.9,0.9
200812,51.7,-3.8
200901,58.2,5.8
200902,55.1,-1
200903,61.4,-0.8
200904,67.9,2.3
200905,80.6,5.8
200906,80.7,0.8
200907,93,-0.5
200908,90.2,-0.8
200909,88.4,6.7
200910,70.8,-2.2
200911,63.2,-0.8
200912,51.3,-4.2
201001,53.7,1.3
201002,56.1,0
201003,60.9,-1.3
201004,62.8,-2.8
201005,69.8,-5
201006,83.2,3.3
201007,91,-2.5
201008,88.6,-2.4
201009,86,4.3
201010,71.9,-1.1
201011,59.6,-4.4
201012,53.8,-1.7
201101,55.7,3.3
201102,54.6,-1.5
201103,58.9,-3.3
201104,65.7,0.1
201105,70.3,-4.5
201106,80.5,0.6
201107,88.4,-5.1
201108,90.5,-0.5
201109,87.2,5.5
201110,74.3,1.3
201111,58.9,-5.1
201112,55,-0.5
201201,58.6,6.2
201202,58,1.9
201203,60.4,-1.8
201204,68.4,2.8
201205,78.6,3.8
201206,84.3,4.4
201207,89.6,-3.9
201208,92.8,1.8
201209,88.3,6.6
201210,75.4,2.4
201211,63.6,-0.4
201212,51.8,-3.7
201301,53.2,0.8
201302,57.6,1.5
201303,66.5,4.3
201304,71.7,6.1
201305,77.5,2.7
201306,87.2,7.3
201307,92.7,-0.8
201308,89,-2
201309,83.1,1.4
201310,72.5,-0.5
201311,63.7,-0.3
201312,56.2,0.7
201401,63,10.6
201402,60.6,4.5
201403,65.3,3.1
201404,71,5.4
201405,78.8,4
201406,87.1,7.2
201407,92.7,-0.8
201408,89,-2
201409,86.2,4.5
201410,78.1,5.1
201411,64.2,0.2
201412,54.6,-0.9
201501,59.4,7
