Date,Value,Anomaly
200501,35.8,0
200502,38.1,0
200503,40,0
200504,40.4,0
200505,49.5,0
200506,52.6,0
200507,63.2,0
200508,60.6,0
200509,52,0
200510,46.8,0
200511,40.8,0
200512,36.6,0
200601,35,-0.8
200602,35.3,-2.8
200603,34.4,-5.6
200604,42.1,1.7
200605,50.7,1.2
200606,58.6,6
200607,64.4,1.2
200608,58.5,-2.1
200609,54.2,2.2
200610,45.3,-1.5
200611,40.3,-0.5
200612,33.1,-3.5
200701,29.5,-6.3
200702,36.3,-1.8
200703,40.9,0.9
200704,43.1,2.7
200705,49.5,0
200706,55.2,2.6
200707,62,-1.2
200708,61.1,0.5
200709,53.6,1.6
200710,46,-0.8
200711,41,0.2
200712,31.8,-4.8
200801,32.6,-3.2
200802,34.7,-3.4
200803,37.5,-2.5
200804,40.3,-0.1
200805,48.3,-1.2
200806,55.5,2.9
200807,61.7,-1.5
200808,61.6,1
200809,56.3,4.3
200810,47.6,0.8
200811,42.9,2.1
200812,32.4,-4.2
200901,35.5,-0.3
200902,35.4,-2.7
200903,37,-3
200904,40.7,0.3
200905,52.7,3.2
200906,54.3,1.7
200907,62.2,-1
200908,59.4,-1.2
200909,57.6,5.6
200910,45.5,-1.3
200911,38.6,-2.2
200912,32.2,-4.4
201001,36.6,0.8
201002,37.5,-0.6
201003,37.2,-2.8
201004,39,-1.4
201005,44,-5.5
201006,55.1,2.5
201007,61.2,-2
201008,58.2,-2.4
201009,54.9,2.9
201010,49.1,2.3
201011,37.6,-3.2
201012,37.7,1.1
201101,34.6,-1.2
201102,32.3,-5.8
201103,38.6,-1.4
201104,41.1,0.7
201105,44.8,-4.7
201106,53.3,0.7
201107,60,-3.2
201108,59.8,-0.8
201109,57.3,5.3
201110,48.4,1.6
201111,37.5,-3.3
201112,30.6,-6
201201,34.4,-1.4
201202,35,-3.1
201203,37.3,-2.7
201204,43.1,2.7
201205,49.2,-0.3
201206,54.3,1.7
201207,59.7,-3.5
201208,62.7,2.1
201209,57.8,5.8
201210,48.9,2.1
201211,41.4,0.6
201212,34.3,-2.3
201301,31,-4.8
201302,33.1,-5
201303,41,1
201304,44.7,4.3
201305,50.1,0.6
201306,57.6,5
201307,63.4,0.2
201308,59.8,-0.8
201309,55.6,3.6
201310,44.5,-2.3
201311,40.2,-0.6
201312,32,-4.6
201401,37.2,1.4
201402,39,0.9
201403,41.6,1.6
201404,44.4,4
201405,50.5,1
201406,56.6,4
201407,64,0.8
201408,60.8,0.2
201409,58.3,6.3
201410,50.8,4
201411,42,1.2
201412,38.9,2.3
201501,37.9,2.1
