Date,Value,Anomaly
199201,1.94,-3.62
199202,5.98,1.95
199203,3.65,-0.04
199204,1.03,-0.76
199205,0.23,-2.31
199206,0.71,0.04
199207,0.24,0.1
199208,0.2,-0.09
199209,0.05,-0.27
199210,2.13,1.13
199211,0.59,-1.67
199212,6.48,-1.33
199301,8.86,3.3
199302,5.98,1.95
199303,3.05,-0.64
199304,1.45,-0.34
199305,1.44,-1.1
199306,0.87,0.2
199307,0.03,-0.11
199308,0.22,-0.07
199309,0.04,-0.28
199310,0.82,-0.18
199311,1.42,-0.84
199312,2.52,-5.29
199401,1.91,-3.65
199402,3.96,-0.07
199403,1.24,-2.45
199404,1.36,-0.43
199405,1.35,-1.19
199406,0.1,-0.57
199407,0.05,-0.09
199408,0.06,-0.23
199409,0.34,0.02
199410,0.63,-0.37
199411,3.73,1.47
199412,2.81,-5
199501,12.5,6.94
199502,1.27,-2.76
199503,9.57,5.88
199504,2.69,0.9
199505,1.73,-0.81
199506,0.95,0.28
199507,0.17,0.03
199508,0.06,-0.23
199509,0.07,-0.25
199510,0.05,-0.95
199511,0.36,-1.9
199512,5.78,-2.03
199601,5.12,-0.44
199602,5.99,1.96
199603,2.57,-1.12
199604,2.1,0.31
199605,2.01,-0.53
199606,0.18,-0.49
199607,0.2,0.06
199608,0.06,-0.23
199609,0.27,-0.05
199610,1.7,0.7
199611,3.35,1.09
199612,8.96,1.15
199701,7.62,2.06
199702,0.71,-3.32
199703,0.84,-2.85
199704,0.89,-0.9
199705,0.38,-2.16
199706,0.65,-0.02
199707,0.31,0.17
199708,0.27,-0.02
199709,0.94,0.62
199710,1.08,0.08
199711,3.95,1.69
199712,2.96,-4.85
199801,6.97,1.41
199802,11.5,7.47
199803,4.15,0.46
199804,2.17,0.38
199805,3.03,0.49
199806,0.77,0.1
199807,0.2,0.06
199808,0.13,-0.16
199809,0.74,0.42
199810,0.76,-0.24
199811,4.34,2.08
199812,1.65,-6.16
199901,3.54,-2.02
199902,4.98,0.95
199903,2.4,-1.29
199904,1.87,0.08
199905,0.33,-2.21
199906,0.25,-0.42
199907,0.31,0.17
199908,0.21,-0.08
199909,0.18,-0.14
199910,0.71,-0.29
199911,2.2,-0.06
199912,0.65,-7.16
200001,5.09,-0.47
200002,6.93,2.9
200003,1.92,-1.77
200004,1.8,0.01
200005,0.94,-1.6
200006,0.31,-0.36
200007,0.06,-0.08
200008,0.27,-0.02
200009,0.35,0.03
200010,2.2,1.2
200011,0.79,-1.47
200012,0.77,-7.04
200101,3.52,-2.04
200102,4.42,0.39
200103,2.21,-1.48
200104,1.75,-0.04
200105,0.15,-2.39
200106,0.23,-0.44
200107,0.28,0.14
200108,0.05,-0.24
200109,0.3,-0.02
200110,0.65,-0.35
200111,4.21,1.95
200112,5.25,-2.56
200201,2.22,-3.34
200202,1.45,-2.58
200203,1.91,-1.78
200204,0.88,-0.91
200205,0.59,-1.95
200206,0.07,-0.6
200207,0.06,-0.08
200208,0.01,-0.28
200209,0.11,-0.21
200210,0.06,-0.94
200211,3.18,0.92
200212,8.14,0.33
200301,1.92,-3.64
200302,2.66,-1.37
200303,2.77,-0.92
200304,3.98,2.19
200305,1.09,-1.45
200306,0.04,-0.63
200307,0.22,0.08
200308,0.57,0.28
200309,0.17,-0.15
200310,0.09,-0.91
200311,2.35,0.09
200312,5.77,-2.04
200401,2.27,-3.29
200402,5.88,1.85
200403,1.08,-2.61
200404,0.7,-1.09
200405,0.45,-2.09
200406,0.08,-0.59
200407,0.06,-0.08
200408,0.19,-0.1
200409,0.14,-0.18
200410,3.72,2.72
200411,1.68,-0.58
200412,5.51,-2.3
200501,5.56,0
200502,4.03,0
200503,3.69,0
200504,1.79,0
200505,2.54,0
200506,0.67,0
200507,0.14,0
200508,0.29,0
200509,0.32,0
200510,1,0
200511,2.26,0
200512,7.81,0
200601,4.54,-1.02
200602,2.69,-1.34
200603,5.41,1.72
200604,4.16,2.37
200605,0.73,-1.81
200606,0.15,-0.52
200607,0.15,0.01
200608,0.06,-0.23
200609,0.06,-0.26
200610,0.45,-0.55
200611,2.08,-0.18
200612,3.13,-4.68
200701,0.81,-4.75
200702,4.24,0.21
200703,0.74,-2.95
200704,1.27,-0.52
200705,0.32,-2.22
200706,0.12,-0.55
200707,0.18,0.04
200708,0.12,-0.17
200709,0.5,0.18
200710,1.5,0.5
200711,0.82,-1.44
200712,3.21,-4.6
200801,7.11,1.55
200802,2.76,-1.27
200803,0.61,-3.08
200804,0.34,-1.45
200805,0.54,-2
200806,0.03,-0.64
200807,0.14,0
200808,0.12,-0.17
200809,0.04,-0.28
200810,0.7,-0.3
200811,2.41,0.15
200812,3.05,-4.76
200901,1.27,-4.29
200902,4.64,0.61
200903,2.26,-1.43
200904,0.57,-1.22
200905,1.24,-1.3
200906,0.6,-0.07
200907,0.05,-0.09
200908,0.12,-0.17
200909,0.09,-0.23
200910,2.07,1.07
200911,0.99,-1.27
200912,3.15,-4.66
201001,6.48,0.92
201002,3.65,-0.38
201003,2.19,-1.5
201004,3.47,1.68
201005,1.07,-1.47
201006,0.26,-0.41
201007,0.07,-0.07
201008,0.1,-0.19
201009,0.16,-0.16
201010,3,2
201011,2.6,0.34
201012,8.13,0.32
201101,1.28,-4.28
201102,3.34,-0.69
201103,6.41,2.72
201104,1.1,-0.69
201105,1.44,-1.1
201106,0.92,0.25
201107,0.22,0.08
201108,0.1,-0.19
201109,0.28,-0.04
201110,1.54,0.54
201111,1.69,-0.57
201112,0.47,-7.34
201201,3.12,-2.44
201202,1.22,-2.81
201203,4.74,1.05
201204,2.48,0.69
201205,0.2,-2.34
201206,0.32,-0.35
201207,0.26,0.12
201208,0.3,0.01
201209,0.1,-0.22
201210,0.99,-0.01
201211,3.57,1.31
201212,6.15,-1.66
201301,1.19,-4.37
201302,0.58,-3.45
201303,1.33,-2.36
201304,0.71,-1.08
201305,0.62,-1.92
201306,0.38,-0.29
201307,0.28,0.14
201308,0.38,0.09
201309,0.77,0.45
201310,0.26,-0.74
201311,0.99,-1.27
201312,0.44,-7.37
201401,0.54,-5.02
201402,4.02,-0.01
201403,3.28,-0.41
201404,1.06,-0.73
201405,0.35,-2.19
201406,0.06,-0.61
201407,0.22,0.08
201408,0.45,0.16
201409,0.72,0.4
201410,1.06,0.06
201411,1.84,-0.42
201412,6.3,-1.51
201501,0.65,-4.91
