OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
1,Miscellaneous,CA,2/2/2005,2/2/2005,2005,0.1,40.03694444,-121.0058333,0
8,Debris Burning,CA,3/8/2005,3/8/2005,2005,0.8,40.96805556,-122.4338889,0
9,Debris Burning,CA,3/15/2005,3/15/2005,2005,1,41.23361111,-122.2833333,0
32,Campfire,OR,2/5/2005,2/6/2005,2005,0.1,43.99555556,-121.4141667,1
36,Campfire,OR,3/5/2005,3/5/2005,2005,0.1,44.04333333,-121.3861111,0
37,Equipment Use,NC,3/11/2005,3/11/2005,2005,0.6,35.22833333,-82.88444444,0
38,Arson,NC,1/27/2005,1/28/2005,2005,50.3,35.00027778,-83.35111111,1
39,Arson,NC,2/6/2005,2/6/2005,2005,0.1,35.93166667,-81.71666667,0
40,Debris Burning,NC,2/12/2005,2/13/2005,2005,125,36.00166667,-81.59,1
41,Debris Burning,NC,4/16/2005,4/16/2005,2005,25,35.985,-81.85166667,0
42,Debris Burning,NC,5/9/2005,5/9/2005,2005,3,35.9,-81.68333333,0
43,Debris Burning,NC,5/9/2005,5/9/2005,2005,10,36.035,-81.585,0
44,Campfire,OR,4/5/2005,4/5/2005,2005,0.1,43.95555556,-121.3522222,0
45,Lightning,WY,6/6/2005,6/6/2005,2005,0.25,42.35472222,-105.5055556,0
46,Miscellaneous,NC,3/11/2005,3/11/2005,2005,10,35.00138889,-83.38416667,0
47,Miscellaneous,OR,3/11/2005,3/11/2005,2005,5,44.91111111,-119.6961111,0
48,Lightning,CO,6/14/2005,6/14/2005,2005,0.5,39.29222222,-105.1830556,0
49,Campfire,OR,2/16/2005,2/16/2005,2005,0.1,43.72527778,-121.5741667,0
50,Debris Burning,OR,3/2/2005,3/2/2005,2005,0.1,44.41,-121.3155556,0
51,Lightning,OR,5/28/2005,5/28/2005,2005,0.1,42.13388889,-121.2341667,0
52,Miscellaneous,OR,5/17/2005,5/17/2005,2005,0.1,42.31138889,-120.9027778,0
53,Arson,OR,5/27/2005,5/27/2005,2005,0.1,42.95083333,-120.8361111,0
54,Miscellaneous,WY,4/7/2005,4/7/2005,2005,0.1,44.81611111,-107.3311111,0
55,Lightning,WA,6/19/2005,6/20/2005,2005,0.3,46.22083333,-117.785,1
56,Lightning,OR,6/25/2005,6/26/2005,2005,0.1,42.38694444,-120.8086111,1
57,Lightning,OR,6/25/2005,6/25/2005,2005,2,42.51472222,-121.12,0
58,Debris Burning,MT,3/8/2005,3/8/2005,2005,0.5,48.92194444,-115.0925,0
59,Campfire,MT,3/6/2005,3/6/2005,2005,9,48.99833333,-115.1655556,0
60,Lightning,OR,6/24/2005,6/24/2005,2005,0.1,42.92138889,-121.0308333,0
61,Campfire,MT,6/16/2005,6/17/2005,2005,5,47.66555556,-115.5691667,1
62,Lightning,CO,5/30/2005,5/31/2005,2005,0.2,38.91333333,-105.9836111,1
63,Campfire,CO,6/21/2005,6/21/2005,2005,0.1,39.10027778,-106.3675,0
64,Lightning,UT,6/28/2005,6/28/2005,2005,0.1,40.08888889,-111.3783333,0
65,Debris Burning,MT,4/27/2005,4/27/2005,2005,2,48.89944444,-115.1069444,0
66,Miscellaneous,MT,4/24/2005,4/24/2005,2005,0.1,48.90694444,-115.0766667,0
67,Campfire,MT,7/4/2005,7/4/2005,2005,0.1,48.40777778,-115.5583333,0
68,Campfire,MT,7/5/2005,7/5/2005,2005,0.1,48.40777778,-115.5577778,0
69,Lightning,OR,6/25/2005,6/25/2005,2005,0.1,42.30277778,-120.5436111,0
70,Lightning,OR,6/26/2005,6/26/2005,2005,0.5,42.13694444,-120.7016667,0
71,Debris Burning,MT,5/2/2005,5/2/2005,2005,17,48.96666667,-115.2066667,0
72,Campfire,MT,5/29/2005,5/29/2005,2005,0.1,48.96444444,-115.1858333,0
73,Miscellaneous,MT,7/1/2005,7/1/2005,2005,3,48.89444444,-115.1652778,0
74,Debris Burning,MT,7/5/2005,7/5/2005,2005,0.25,48.81694444,-115.1113889,0
75,Miscellaneous,MT,7/3/2005,7/3/2005,2005,0.1,48.9625,-115.0855556,0
76,Campfire,AZ,5/16/2005,5/16/2005,2005,0.5,35.23638889,-112.2163889,0
77,Debris Burning,CA,6/27/2005,6/27/2005,2005,0.1,41.03722222,-123.5330556,0
78,Miscellaneous,WY,4/14/2005,4/14/2005,2005,0.25,44.33555556,-106.9519444,0
79,Lightning,OR,6/18/2005,6/19/2005,2005,0.1,45.55444444,-118.1019444,1
80,Equipment Use,MT,5/13/2005,5/13/2005,2005,0.1,48.28222222,-115.5105556,0
81,Campfire,MT,7/10/2005,7/10/2005,2005,0.1,48.41666667,-115.5461111,0
82,Campfire,MT,7/3/2005,7/4/2005,2005,0.1,48.34888889,-115.4908333,1
83,Campfire,MT,7/9/2005,7/9/2005,2005,0.1,48.40833333,-115.5583333,0
84,Equipment Use,AZ,5/18/2005,5/18/2005,2005,0.1,32.56055556,-109.7725,0
86,Lightning,NM,7/7/2005,7/8/2005,2005,45.6,32.46722222,-104.9416667,1
87,Lightning,AZ,6/26/2005,6/26/2005,2005,0.5,32.68555556,-109.8691667,0
88,Miscellaneous,CA,4/24/2005,4/24/2005,2005,0.1,34.17444444,-117.765,0
89,Children,CA,7/3/2005,7/3/2005,2005,0.5,34.15388889,-117.8411111,0
90,Lightning,OR,6/21/2005,6/21/2005,2005,0.1,44.98861111,-118.9388889,0
91,Debris Burning,CA,6/25/2005,6/25/2005,2005,0.1,38.98388889,-120.8025,0
92,Campfire,SD,1/2/2005,1/2/2005,2005,0.1,44.01277778,-103.3825,0
93,Lightning,NM,5/27/2005,5/28/2005,2005,0.1,36.01666667,-106.7166667,1
94,Lightning,OR,6/25/2005,6/25/2005,2005,0.1,42.62083333,-120.845,0
95,Arson,AZ,7/14/2005,7/14/2005,2005,0.1,32.75361111,-109.8313889,0
96,Debris Burning,CA,5/6/2005,5/9/2005,2005,0.1,38.70027778,-119.8405556,3
97,Arson,CA,7/8/2005,7/8/2005,2005,0.01,38.45361111,-119.4586111,0
98,Lightning,NM,6/11/2005,6/11/2005,2005,0.1,36.66944444,-107.2536111,0
99,Lightning,NM,6/22/2005,6/22/2005,2005,0.25,36.87638889,-107.2191667,0
100,Railroad,MT,7/2/2005,7/2/2005,2005,0.1,48.45833333,-115.6666667,0
101,Campfire,MT,7/2/2005,7/2/2005,2005,0.1,48.40833333,-115.5583333,0
102,Debris Burning,MT,4/25/2005,4/25/2005,2005,1.2,48.76666667,-114.8783333,0
103,Children,MT,7/14/2005,7/15/2005,2005,0.1,48.41472222,-115.5480556,1
104,Campfire,MT,7/10/2005,7/10/2005,2005,0.1,48.40833333,-115.5583333,0
105,Lightning,WY,6/25/2005,6/26/2005,2005,0.1,43.64527778,-109.9125,1
106,Miscellaneous,CA,4/27/2005,4/27/2005,2005,0.1,33.66666667,-117.3763889,0
107,Lightning,CA,7/18/2005,7/19/2005,2005,0.1,38.35361111,-119.3780556,1
108,Miscellaneous,AR,6/29/2005,6/29/2005,2005,0.1,34.65472222,-94.28638889,0
109,Lightning,NV,7/15/2005,7/15/2005,2005,0.25,38.17916667,-118.7116667,0
110,Equipment Use,CA,6/19/2005,6/19/2005,2005,10,33.71888889,-117.4336111,0
111,Equipment Use,CA,5/27/2005,5/27/2005,2005,0.1,37.04416667,-119.3438889,0
112,Lightning,NV,7/17/2005,7/18/2005,2005,80,38.25555556,-118.4861111,1
113,Lightning,OR,6/6/2005,6/7/2005,2005,1,43.99138889,-118.7327778,1
114,Railroad,SD,6/27/2005,6/27/2005,2005,0.61,43.065,-103.6605556,0
115,Lightning,CO,7/7/2005,7/7/2005,2005,80,37.345,-102.8058333,0
116,Campfire,MT,7/15/2005,7/15/2005,2005,0.1,48.40777778,-115.5577778,0
117,Lightning,SD,7/16/2005,7/17/2005,2005,119,43.89916667,-102.9547222,1
118,Lightning,SD,7/16/2005,7/16/2005,2005,119,43.89277778,-102.9480556,0
119,Campfire,OR,6/13/2005,6/13/2005,2005,0.1,43.78333333,-119,0
120,Campfire,WA,7/16/2005,7/16/2005,2005,0.1,46.08055556,-117.8908333,0
121,Lightning,NM,5/29/2005,5/30/2005,2005,0.1,35.95,-106.7166667,1
122,Lightning,NM,6/11/2005,6/14/2005,2005,0.1,35.91666667,-106.8,3
123,Lightning,NM,6/14/2005,6/16/2005,2005,0.1,36.03333333,-106.9833333,2
124,Miscellaneous,MT,2/26/2005,2/26/2005,2005,0.1,48.83083333,-115.6763889,0
125,Debris Burning,MT,4/25/2005,4/25/2005,2005,0.9,48.53888889,-115.9347222,0
126,Debris Burning,MT,4/20/2005,4/20/2005,2005,15.4,48.84694444,-115.6622222,0
127,Lightning,OR,6/19/2005,6/19/2005,2005,0.25,43.80888889,-118.7275,0
128,Lightning,OR,6/19/2005,6/19/2005,2005,0.06,43.72472222,-119.6605556,0
129,Lightning,OR,6/19/2005,6/20/2005,2005,0.1,43.77222222,-119.6597222,1
130,Lightning,OR,6/20/2005,6/20/2005,2005,0.01,43.81166667,-119.6866667,0
