"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG","TMAX","TMIN"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","37.3292","-121.2939","563.9","2005","30","104","61.6","71.1","52.2"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2005","32","114","64.6","75.5","53.6"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2005","31",,,,"56.8"
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2005","29","105","60.6","73.0","48.2"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2005","37","95","61.4","70.6","52.2"
"USR0000CBEA","BEAR PEAK CALIFORNIA, CA US","35.8842","-118.0517","2507.9","2005","14","85","47.0","54.6","39.4"
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2005",,,,,
"USR0000CSFD","SANTA FE DAM CALIFORNIA, CA US","34.1208","-117.9458","152.4","2005","41","106","67.0","80.5","53.5"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","35.8644","-120.8031","163.7","2005","21","112","62.5","80.8","44.1"
"USC00041244","BUTTONWILLOW, CA US","35.4028","-119.47","68.6","2005","28","106","64.6","77.7","51.6"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2005","35","98","62.1","70.2","53.9"
"USR0000CBEN","BENTON CALIFORNIA, CA US","37.8431","-118.4778","1661.2","2005","0","103","52.4","69.5","35.3"
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2005",,,,,
"USC00042456","DOBBINS 1 S, CA US","39.3575","-121.2011","499.9","2005",,,,,
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2005",,,,,
"USC00044997","LIVERMORE, CA US","37.6922","-121.7691","146.3","2005","30","104","61.1","73.3","48.9"
"USC00043669","GROVELAND 2, CA US","37.8444","-120.2258","853.4","2005","19","101","55.5","69.4","41.5"
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2005","24","114","62.9","76.6","49.2"
"USR0000CWOF","WOFFORD HEIGHTS CALIFORNIA, CA US","35.7217","-118.4989","960.1","2005","25","108","60.6","73.9","47.3"
"USR0000CJUN","JUNIPER CREEK CALIFORNIA, CA US","41.3322","-120.4725","1332.6","2005","4","99","49.0","63.4","34.7"
"USR0000CJUL","JULIAN CALIFORNIA, CA US","33.0758","-116.5908","1292.4","2005","29","98","58.0","68.4","47.6"
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2005",,,,,
"USR0000CLYT","LYTLE CREEK CALIFORNIA, CA US","34.2339","-117.4803","851.0","2005","30","107","62.3","74.9","49.7"
"USC00042574","DUNSMUIR TREATMENT PLANT, CA US","41.1833","-122.2736","661.4","2005","21","104","54.5","68.8","40.2"
"USR0000CSEC","SECRET TOWN CALIFORNIA, CA US","39.1836","-120.8847","861.4","2005","26","106","58.4","72.4","44.4"
"USW00023213","SANTA ROSA SONOMA CO AIRPORT, CA US","38.5038","-122.8102","34.7","2005","26","101","57.8","70.6","44.9"
"USC00044523","KERN RIVER PH 3, CA US","35.7831","-118.4389","823.9","2005","24","108","61.0","76.8","45.2"
"USC00042467","DONNER MEMORIAL ST PARK, CA US","39.3239","-120.2331","1809.6","2005","2","93","44.3","59.4","29.2"
"USC00046943","PISMO BEACH, CA US","35.1597","-120.683","11.9","2005",,,,,
"USC00040161","ALTURAS, CA US","41.4901","-120.5437","1334.4","2005",,,,,
"USC00044647","LAGUNA BEACH, CA US","33.5453","-117.7813","13.4","2005","34","95","62.7","72.8","52.5"
"USC00047916","SANTA CRUZ, CA US","36.98785","-121.99952","21.3","2005","32","85","57.9","66.9","49.0"
"USC00046826","PETALUMA AIRPORT, CA US","38.2577","-122.6077","6.1","2005",,,,,
"USC00043551","GRANT GROVE, CA US","36.73751","-118.96197","2005.6","2005",,"88",,"56.9",
"USC00046940","PIRU 2 ESE, CA US","34.4061","-118.7569","217.0","2005",,,,,
