"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG","TMAX","TMIN"
"USC00097171","PRIDGEN, GA US","31.6953","-82.9239","91.4","2015","19","98","66.4","76.6","56.2"
"USC00096087","MOULTRIE 2 ESE, GA US","31.1769","-83.7491","103.6","2015","19","97","68.0","78.1","58.0"
"US1GAFT0037","ATLANTA 3.2 S, GA US","33.7171","-84.4211","317.0","2015",,,,,
"US1GAHS0009","BONAIRE 2.6 NW, GA US","32.5653","-83.6316","104.5","2015",,,,,
"USR0000GBYR","BYROMVILLE GEORGIA, GA US","32.2033","-83.9319","152.4","2015","16","101","67.0","77.8","56.2"
"USC00098703","TIFTON, GA US","31.4461","-83.4767","115.8","2015","18","99","66.7","76.7","56.6"
"US1GACK0011","ATHENS 7.6 SE, GA US","33.8625","-83.3089","208.2","2015",,,,,
"USC00091500","CAMILLA 3 SE, GA US","31.1902","-84.2036","53.3","2015","16","99","65.9","76.8","55.0"
"US1GACK0010","ATHENS 4.5 SE, GA US","33.9055","-83.3448","224.0","2015",,,,,
"US1GAHS0003","WARNER ROBINS 0.3 W, GA US","32.6119","-83.6359","106.7","2015",,,,,
"USC00091982","CLAYTON 1 SSW, GA US","34.8879","-83.3966","598.9","2015","6","93","58.2","69.0","47.4"
"US1GAMT0006","CAMILLA 2.8 SE, GA US","31.2045","-84.1724","59.7","2015",,,,,
"US1GABB0016","MACON 6.3 E, GA US","32.8383","-83.5482","133.2","2015",,,,,
"US1GAFL0002","LINDALE 3.0 S, GA US","34.1445","-85.1725","244.1","2015",,,,,
"US1GAHL0010","FLOWERY BRANCH 3.9 NE, GA US","34.2181","-83.8664","366.1","2015",,,,,
"US1GACY0002","FORT GAINES 13.0 ENE, GA US","31.731","-84.9654","131.1","2015",,,,,
"US1GAGN0007","JEKYLL ISLAND 0.6 E, GA US","31.0702","-81.4104","3.4","2015",,,,,
"USW00003820","AUGUSTA BUSH FIELD AIRPORT, GA US","33.3644","-81.9633","40.2","2015","13","104","65.5","77.4","53.6"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.20237","14.0","2015","20","99","68.7","78.6","58.8"
"US1GACG0011","SUMMERVILLE 9.4 ENE, GA US","34.5394","-85.2008","251.2","2015",,,,,
"USC00092966","EASTMAN 1 W, GA US","32.2003","-83.2058","121.9","2015","16","99","67.3","77.5","57.2"
"USR0000GWAY","WAYCROSS GEORGIA, GA US","31.11","-82.26","38.1","2015","23","100","69.6","80.0","59.2"
"USC00092283","CORNELIA, GA US","34.5181","-83.5286","448.1","2015","6","93","59.2","68.7","49.7"
"USR0000GWAS","WASHINGTON GEORGIA, GA US","33.7806","-82.8161","180.7","2015","12","101","64.2","74.8","53.7"
"USC00098241","SPRINGFIELD, GA US","32.35879","-81.31181","25.6","2015",,,,,
"US1GAWR0004","WAYCROSS 1.2 NE, GA US","31.2249","-82.3445","38.4","2015",,,,,
"US1GAWH0003","CLEVELAND 3.9 WNW, GA US","34.612","-83.826","487.7","2015",,,,,
"USC00091965","CLARKESVILLE, GA US","34.6159","-83.5429","423.7","2015",,,,,
"USC00094204","HAZLEHURST, GA US","31.8878","-82.5808","76.2","2015",,,,,
"USC00093465","FOLKSTON 9 SW, GA US","30.74","-82.1278","36.6","2015","22","101","71.9","82.7","61.2"
"US1GATF0006","TIFTON 5.5 E, GA US","31.4615","-83.4178","100.0","2015",,,,,
"US1GACT0067","BLOOMINGDALE 4.7 SW, GA US","32.0639","-81.3561","7.9","2015",,,,,
"US1GACT0064","SAVANNAH 10.4 E, GA US","32.016","-80.9546","4.0","2015",,,,,
"US1GACT0065","SAVANNAH 8.5 E, GA US","32.0035","-80.9889","11.0","2015",,,,,
"USC00091619","CARNESVILLE, GA US","34.36555","-83.23278","204.2","2015",,,,,
"USW00013869","ALBANY SW GEORGIA REGIONAL AIRPORT, GA US","31.53556","-84.19444","57.9","2015","18","101","69.0","79.6","58.3"
"US1GACU0006","MARTINEZ 0.9 NW, GA US","33.5293","-82.0978","94.5","2015",,,,,
"USR0000GCHA","CHATTOOGA NUMBER 1 GEORGIA, GA US","34.6403","-83.5219","457.2","2015","8","95","60.2","70.6","49.8"
"USR0000GATH","WATKINSVILLE GEORGIA, GA US","33.8967","-83.3656","205.7","2015","11","100","63.6","74.0","53.1"
"USC00091732","CEDARTOWN, GA US","34.0588","-85.2338","239.3","2015","9","101","63.2","74.3","52.2"
"USW00013870","ALMA BACON CO AIRPORT, GA US","31.5358","-82.5067","58.8","2015","22","99","68.6","79.1","58.1"
"USC00092266","CORDELE, GA US","31.985","-83.77472","93.9","2015","16","102","66.5","77.5","55.6"
"USC00097827","SAUTEE 3 W, GA US","34.6646","-83.7342","484.9","2015",,,,,
"USR0000GCHS","CHATSWORTH GEORGIA, GA US","34.77","-84.5833","609.6","2015","7","97","62.0","72.7","51.3"
"US1GADH0001","ALBANY 3.7 NE, GA US","31.618","-84.1352","60.0","2015",,,,,
"US1GABB0006","MACON 5.8 NW, GA US","32.8931","-83.7303","144.2","2015",,,,,
"US1GACN0008","MORROW 1.3 N, GA US","33.5967","-84.3369","280.4","2015",,,,,
"USW00013878","BRUNSWICK MALCOLM MCKINNON AIRPORT, GA US","31.1522","-81.3908","4.9","2015","24","96","69.5","76.8","62.2"
"US1GAFL0013","CAVE SPRING 1.7 S, GA US","34.085","-85.3379","224.0","2015",,,,,
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","2015","11","97","64.5","73.4","55.5"
"USW00013873","ATHENS BEN EPPS AIRPORT, GA US","33.948","-83.3275","239.3","2015","11","100","64.0","74.6","53.3"
"US1GAMA0001","COMER 3.5 NNE, GA US","34.1095","-83.1024","177.1","2015",,,,,
"USC00098740","TOCCOA, GA US","34.5786","-83.3319","308.5","2015","11","98","62.7","72.6","52.7"
"US1GAMN0010","FORSYTH 8.3 S, GA US","32.9143","-83.9416","149.0","2015",,,,,
