,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMNT,EMXT,TAVG,TMAX,TMIN,Yearly_AVG
0,USC00099077,"WALESKA, GA US",34.310829999999996,-84.5375,364.5,1992,,,,,,62.66833333333336
1,USC00091906,"CHICKAMAUGA PARK, GA US",34.9,-85.27167,225.6,1992,,,,,,62.66833333333336
2,USC00096087,"MOULTRIE 2 ESE, GA US",31.1769,-83.7491,103.6,1992,23.0,99.0,67.2,77.7,56.7,62.66833333333336
3,USC00095394,"LUMPKIN 2 SE, GA US",32.0306,-84.7754,147.8,1992,,,,,,62.66833333333336
4,USC00092839,"DUBLIN, GA US",32.5575,-82.9036,70.1,1992,,,,,,62.66833333333336
5,USC00095550,"MARSHALLVILLE, GA US",32.45667,-83.94,54.9,1992,,,,,,62.66833333333336
6,USC00098661,"THOMASTON 4 SE, GA US",32.867,-84.2654,189.0,1992,18.0,100.0,63.3,75.2,51.4,62.66833333333336
7,USC00098666,"THOMASVILLE 7 NE, GA US",30.913890000000002,-83.86111,73.2,1992,,,,,,62.66833333333336
8,USC00092716,"DOCTORTOWN 1 WSW, GA US",31.65,-81.85,24.4,1992,,,,,,62.66833333333336
9,USC00096244,"NASHVILLE 4 N, GA US",31.2644,-83.2391,77.7,1992,20.0,97.0,66.0,78.0,54.0,62.66833333333336
10,USC00096126,"MOUNT VERNON, GA US",32.1738,-82.5956,69.8,1992,,,,,,62.66833333333336
11,USC00092318,"COVINGTON, GA US",33.59722,-83.84361,234.4,1992,18.0,95.0,60.4,70.8,49.9,62.66833333333336
12,USC00098703,"TIFTON, GA US",31.4461,-83.4767,115.8,1992,24.0,101.0,63.9,74.2,53.7,62.66833333333336
13,USC00095314,"LOUISVILLE 1 E, GA US",33.0125,-82.3914,98.1,1992,23.0,,,,53.1,62.66833333333336
14,USC00091500,"CAMILLA 3 SE, GA US",31.1902,-84.2036,53.3,1992,22.0,98.0,66.0,76.5,55.6,62.66833333333336
15,USC00091863,"CHATSWORTH 2, GA US",34.7582,-84.7642,216.4,1992,,,,,,62.66833333333336
16,USC00092799,"DOVER, GA US",32.5997,-81.7078,31.4,1992,,,,,,62.66833333333336
17,USC00091982,"CLAYTON 1 SSW, GA US",34.8879,-83.3966,598.9,1992,12.0,92.0,56.9,68.6,45.1,62.66833333333336
18,USC00090253,"AMERICUS, GA US",32.0306,-84.2461,121.0,1992,22.0,97.0,63.2,74.5,51.8,62.66833333333336
