"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG","TMAX","TMIN"
"USC00097171","PRIDGEN, GA US","31.6953","-82.9239","91.4","2002","20","100","65.8","77.3","54.4"
"USC00099077","WALESKA, GA US","34.31083","-84.5375","364.5","2002",,,,,
"USC00091908","CHICKAMAUGA PARK LARC, GA US","34.9203","-85.2711","238.4","2002","10","100","60.3","72.9","47.7"
"USC00096087","MOULTRIE 2 ESE, GA US","31.1769","-83.7491","103.6","2002","21","98","67.3","77.6","57.1"
"USC00095394","LUMPKIN 2 SE, GA US","32.0306","-84.7754","147.8","2002",,,,,
"USC00092839","DUBLIN, GA US","32.5575","-82.9036","70.1","2002","20","105","64.3","77.0","51.6"
"USC00098661","THOMASTON 4 SE, GA US","32.867","-84.2654","189.0","2002",,,,,
"USC00098666","THOMASVILLE 7 NE, GA US","30.91389","-83.86111","73.2","2002",,,,,
"USC00096244","NASHVILLE 4 N, GA US","31.2644","-83.2391","77.7","2002",,,,,
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","33.35528","-84.56694","243.2","2002","12","96","61.2","73.1","49.4"
"USC00098703","TIFTON, GA US","31.4461","-83.4767","115.8","2002","21","100","66.3","77.2","55.5"
"USC00095314","LOUISVILLE 1 E, GA US","33.0125","-82.3914","98.1","2002","17","101","64.6","76.8","52.4"
"USC00091500","CAMILLA 3 SE, GA US","31.1902","-84.2036","53.3","2002",,"99",,"77.1",
"USC00091863","CHATSWORTH 2, GA US","34.7582","-84.7642","216.4","2002","14","98","60.9","72.6","49.2"
"USC00092799","DOVER, GA US","32.5997","-81.7078","31.4","2002",,,,,
"USC00094623","JACKSON DAM, GA US","33.32","-83.8436","131.1","2002",,,,,
"USC00091982","CLAYTON 1 SSW, GA US","34.8879","-83.3966","598.9","2002",,"92",,"69.5",
"USC00092159","COLUMBUS NUMBER 2, GA US","32.5181","-84.9378","132.6","2002",,,,,
"USC00096407","NORCROSS, GA US","33.9482","-84.222","306.3","2002",,,,,
"USR0000GBRA","BRASSTOWN NUMBER 1 GEORGIA, GA US","34.8028","-83.71","999.7","2002","8","87","55.5","62.9","48.2"
"USC00090253","AMERICUS, GA US","32.0306","-84.2461","121.0","2002","15","100","64.3","76.3","52.2"
"USC00091463","CAIRO, GA US","30.8696","-84.2174","61.3","2002",,,,,
"USC00091585","CANTON, GA US","34.2071","-84.5039","345.9","2002",,,,,
"USC00091340","BRUNSWICK, GA US","31.1681","-81.5022","4.0","2002","26","102","69.7","78.9","60.6"
"USC00090010","ABBEVILLE, GA US","31.938","-83.3077","73.2","2002",,"100",,"78.1",
"USC00092153","COLQUITT 2 W, GA US","31.16806","-84.76639","46.6","2002",,,,,
"USC00092791","DOUGLASVILLE, GA US","33.70056","-84.73028","305.4","2002",,,,,
"USC00099186","WAYCROSS 4 NE, GA US","31.2514","-82.3128","44.2","2002","18","101","66.8","79.5","54.1"
"USC00094170","HAWKINSVILLE, GA US","32.2843","-83.4681","74.7","2002",,"102",,"76.9",
"USC00098492","SUWANEE 5 E, GA US","34.08639","-83.98333","334.1","2002",,,,,
"USW00003820","AUGUSTA BUSH FIELD AIRPORT, GA US","33.3644","-81.9633","40.2","2002","16","101","64.1","76.4","51.7"
"USC00099466","WINDER 4 S, GA US","33.9275","-83.72611","271.0","2002","16","98","61.1","72.6","49.6"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.20237","14.0","2002","19","101","67.2","77.6","56.7"
"USC00099502","WOODBINE, GA US","30.9591","-81.7071","4.9","2002","15","100","66.6","78.3","54.8"
"USC00097201","PRESTON, GA US","32.0547","-84.5239","123.4","2002",,,,,
"USC00098535","TALBOTTON, GA US","32.6864","-84.5207","189.0","2002",,,,,
"USC00097600","ROME, GA US","34.2413","-85.1584","208.8","2002","15","98","61.2","72.3","50.0"
"USC00094971","LAKELAND, GA US","31.03917","-83.07583","57.9","2002","21","100","67.7","78.8","56.6"
"USC00092966","EASTMAN 1 W, GA US","32.2003","-83.2058","121.9","2002","19","101","65.9","77.9","53.9"
"USC00093538","FORT STEWART, GA US","31.86945","-81.62358","28.0","2002",,,,,
"USC00099506","WOODBURY, GA US","32.9783","-84.5982","222.5","2002",,,,,
"USC00093658","GEORGETOWN 4 E, GA US","31.8966","-85.0375","149.4","2002",,,,,
"USC00095666","MCDONOUGH 5 ENE, GA US","33.47686","-84.03358","215.8","2002",,"100",,"74.4",
"USC00093016","EDEN, GA US","32.1901","-81.4153","9.4","2002",,,,,
"USC00090140","ALBANY 3 SE, GA US","31.5338","-84.1488","54.9","2002","19","101","66.9","78.4","55.3"
"USC00092283","CORNELIA, GA US","34.5181","-83.5286","448.1","2002","16","95","59.0","69.0","48.9"
"USC00099194","WAYNESBORO 2 S, GA US","33.07129","-82.00728","84.4","2002",,,,,
"USC00098241","SPRINGFIELD, GA US","32.35879","-81.31181","25.6","2002","20","104","66.5","78.3","54.6"
"USC00099451","WILLACOOCHEE 5 ENE, GA US","31.355","-82.9339","61.0","2002",,,,,
"USC00094281","HIAWASSEE 3 SE, GA US","34.88472","-83.71611","670.6","2002",,"91",,"68.0",
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27194","-83.83028","388.6","2002","18","96","61.3","70.8","51.7"
"USC00097276","QUITMAN 2 NW, GA US","30.78361","-83.56917","56.4","2002",,,,,
"USC00097430","RESACA, GA US","34.59111","-84.95889","198.1","2002",,,,,
"USC00091965","CLARKESVILLE, GA US","34.6159","-83.5429","423.7","2002",,"97",,"71.2",
"USC00094204","HAZLEHURST, GA US","31.8878","-82.5808","76.2","2002","19","101","66.5","77.8","55.1"
"USC00090236","ALTO 4 SE, GA US","34.4416","-83.5161","279.8","2002","13","90","56.2","67.6","44.8"
"USC00093621","GAINESVILLE, GA US","34.3006","-83.86","356.6","2002","19","96","60.6","70.9","50.3"
"USC00093465","FOLKSTON 9 SW, GA US","30.74","-82.1278","36.6","2002","21","102","69.7","81.7","57.8"
"USC00094728","JULIETTE, GA US","33.1139","-83.7881","137.2","2002",,,,,
"USC00092493","DALTON, GA US","34.77","-84.88722","243.5","2002",,,,,
"USC00093460","FOLKSTON 3 SW, GA US","30.7997","-82.0313","9.1","2002",,,,,
"USR0000GJON","JONES ISLAND GEORGIA, GA US","30.8289","-82.36","34.7","2002",,,,,
"USW00093842","COLUMBUS METROPOLITAN AIRPORT, GA US","32.5161","-84.9422","119.5","2002","21","99","66.3","76.6","56.0"
"USC00093060","ELBERTON 2 N, GA US","34.1409","-82.8551","164.6","2002","10","96","58.9","70.8","47.0"
"USW00093845","VALDOSTA REGIONAL AIRPORT, GA US","30.7825","-83.27667","60.4","2002",,,,,
"USC00098476","SURRENCY, GA US","31.70778","-82.19694","61.0","2002",,,,,
"USC00091619","CARNESVILLE, GA US","34.36555","-83.23278","204.2","2002",,,,,
"USW00013869","ALBANY SW GEORGIA REGIONAL AIRPORT, GA US","31.53556","-84.19444","57.9","2002","18","100","67.0","78.3","55.6"
"USC00090406","ASHBURN 3 ENE, GA US","31.70028","-83.62306","132.6","2002",,"99",,"76.8",
"USC00092429","CURRYVILLE 3 W, GA US","34.4397","-85.1033","188.1","2002",,,,,
"USC00096335","NEWNAN 7 WNW, GA US","33.3996","-84.915","242.3","2002",,,,,
"USR0000GCHA","CHATTOOGA NUMBER 1 GEORGIA, GA US","34.6403","-83.5219","457.2","2002","10","95","59.2","69.9","48.5"
"USC00095401","LYONS, GA US","32.2024","-82.3305","65.2","2002",,"103",,"78.8",
"USC00094676","JESUP 8 S, GA US","31.5075","-81.8628","30.5","2002",,,,,
"USC00098517","SYLVANIA 2 SSE, GA US","32.7322","-81.6178","76.2","2002",,,,,
"USC00091732","CEDARTOWN, GA US","34.0588","-85.2338","239.3","2002",,,,,
"USC00095404","MABLETON 1 N, GA US","33.8533","-84.5783","298.7","2002",,,,,
"USC00093115","ELLIJAY, GA US","34.6937","-84.4935","414.2","2002",,,,,
"USC00096219","NAHUNTA 6 NE, GA US","31.2738","-81.9197","20.7","2002",,,,,
"USW00013870","ALMA BACON CO AIRPORT, GA US","31.5358","-82.5067","58.8","2002","18","102","67.5","78.9","56.2"
"USC00092266","CORDELE, GA US","31.985","-83.77472","93.9","2002",,"102",,"78.6",
"USC00092783","DOUGLAS, GA US","31.48889","-82.82056","71.0","2002","22","103","67.6","80.2","54.9"
"USC00097827","SAUTEE 3 W, GA US","34.6646","-83.7342","484.9","2002",,,,,
"USW00013878","BRUNSWICK MALCOLM MCKINNON AIRPORT, GA US","31.1522","-81.3908","4.9","2002","26","98","68.8","76.5","61.1"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","2002","18","97","62.7","72.0","53.5"
